gene	chr	start	end	strand	ecto	endo	meso	set
Phc1	6	122317731	122340561	-	7.7274804	6.538534	5.6023893	DifEc
Gdf3	6	122605403	122610087	-	0.16391958	-2.8451703	-0.68546087	DifEc
Tpi1	6	124810586	124814296	-	10.831414	10.052697	10.027705	DifEc
Ldhb	6	142490249	142507957	-	8.870725	8.287253	8.127046	DifEc
Bhlhe41	6	145858243	145865558	-	5.2382264	1.9253478	3.305649	DifEc
A430110N23Rik	7	4925844	4944821	+	0.53831506	0.0673669	-1.5224026	DifEc
Zfp296	7	19577287	19580656	+	1.9221016	-0.013769857	-0.67318255	DifEc
Atp1a3	7	24978167	25005957	-	2.9443076	0.30577162	0.5129526	DifEc
Siglec5	7	43351341	43359531	+	-0.2932874	-7.084636	-1.336657	DifEc
Nav2	7	49246189	49610087	+	5.6994348	4.3003874	3.3932717	DifEc
Slc17a6	7	51621830	51671125	+	1.7429329	-1.6472309	-2.0639725	DifEc
Gabrb3	7	57590518	57828802	+	4.8660707	2.7433238	3.2924058	DifEc
Apba2	7	64501706	64753870	+	4.785881	1.9712487	1.3129969	DifEc
Cpeb1	7	81347026	81455465	-	1.66012	-3.2321935	-2.3859005	DifEc
Mtap6	7	99267447	99337137	+	3.4804945	2.4094415	0.41858897	DifEc
Cyb5r2	7	107748455	107758032	-	-0.22173414	-3.0257423	-1.98597	DifEc
Zp2	7	120132361	120145290	-	-1.3430405	-7.084636	-8.7078285	DifEc
Coro1a	7	126699773	126707787	-	4.5897703	1.805459	1.9219326	DifEc
Fam57b	7	126816885	126830219	+	3.6851566	0.42491886	0.7318867	DifEc
Ppapdc1a	7	129257094	129391307	+	3.0648608	-0.40907118	-1.9559127	DifEc
Foxi2	7	135410367	135413615	+	2.5655365	-2.5403156	-3.1982737	DifEc
Bnip3	7	138890836	138909519	-	8.0355015	7.2163196	7.072136	DifEc
Utf1	7	139943789	139945112	+	6.6909623	2.962185	-0.048031017	DifEc
Cend1	7	141426446	141429491	-	3.8408778	0.6967235	0.42431393	DifEc
Fam70b	8	13435459	13461452	+	1.2206743	-1.6472309	-5.748471	DifEc
Defb1	8	21776599	21795185	+	-7.327934	-7.084636	-8.7078285	DifEc
Dkk4	8	22624043	22627536	+	-1.0261832	-3.2321935	-3.8009384	DifEc
Lpl	8	68880491	68907448	+	5.7959723	2.4116628	4.196137	DifEc
Ncan	8	70093085	70120873	-	3.525376	0.36198765	0.41571793	DifEc
Syce2	8	84872111	84888221	+	6.9640207	5.71235	5.8359547	DifEc
Vat1l	8	114205612	114374071	+	4.5223403	0.38024983	2.7150536	DifEc
Tubb3	8	123411424	123422015	+	5.2166553	3.1811092	3.2723107	DifEc
Olfm2	9	20667986	20728219	-	-0.31794947	-0.47320145	-3.8009384	DifEc
Rgl3	9	21971527	21989453	-	3.1805215	2.4027572	-0.02834866	DifEc
Elavl3	9	22015005	22052023	-	4.8722157	-0.8665439	-0.06798562	DifEc
Cnn1	9	22099281	22109630	+	2.66642	-0.44078	1.6153512	DifEc
Thy1	9	44043384	44048579	+	2.8807073	-0.6472309	-0.66708237	DifEc
Htr3a	9	48899214	48911099	-	3.0163624000000002	-7.084636	-4.5558257	DifEc
Usp28	9	48985385	49042517	+	6.1212726	4.6728463	4.8824463	DifEc
Slc35f2	9	53771535	53818161	+	6.4174604	4.0517855	3.41464	DifEc
Acsbg1	9	54604877	54661870	-	3.442455	1.3982838	0.5862815	DifEc
Rpp25	9	57504102	57505447	+	2.521037	-0.66584647	1.865187	DifEc
Rbpms2	9	65629648	65660528	+	7.7979465	6.561222	6.6899495	DifEc
Prr23a	9	98842587	98843645	+	-7.1759305	-1.8451704	-2.307898	DifEc
Mapkapk3	9	107254927	107289877	-	3.8948615	2.889141	3.1627073	DifEc
P4htm	9	108578826	108597600	-	2.0719972	0.14418256	-1.5671409	DifEc
Osbpl10	9	115067279	115232223	+	1.4387795	0.9621847	-2.2338977	DifEc
Plcd1	9	119071527	119093496	-	3.218532	1.0273688	1.9958825	DifEc
Akap12	10	4266329	4359468	+	6.558885	4.3596888	4.6228395	DifEc
Slc35d3	10	19847917	19851459	-	3.3948739	0.16539897	-0.008931216	DifEc
Myb	10	21124930	21160984	-	4.1882043	1.4205137	-0.13376085	DifEc
Slc35f1	10	52690533	53111622	+	3.4221222	0.30577162	0.2770643	DifEc
Tmem26	10	68723746	68782654	+	2.5587792	0.45968437	0.14461406	DifEc
Gstt2	10	75831845	75834881	-	4.5391736	3.6756217	2.6560628	DifEc
Mif	10	75859353	75860250	-	10.710505	10.15968	10.482924	DifEc
Col18a1	10	77052178	77166548	-	7.2044625	6.005844	4.583406	DifEc
C330046G03Rik	10	77829467	77887021	+	0.8793519	-2.6847055	-0.17212132	DifEc
Atcay	10	81204508	81230833	-	2.6882558	-5.3476706	-4.307898	DifEc
Dcn	10	97479500	97518162	+	0.82406956	0.84215397	-3.2338974	DifEc
Ptges3	10	128058954	128077272	+	10.077862	9.579011	9.813308	DifEc
Gpr75	11	30885358	30893729	+	-0.13153629	-1.2887769	-2.7744658	DifEc
Stc2	11	31357307	31370074	-	2.9352052	2.119935	0.4300163	DifEc
Pld6	11	59783897	59787645	-	4.1175413	1.9832463	2.0178216	DifEc
Tnfrsf13b	11	61126755	61149372	+	-0.33044037	-2.6847055	-1.98597	DifEc
Eno3	11	70657202	70662513	+	5.6894164	4.2835064	3.9327674	DifEc
Wscd1	11	71749920	71789647	+	3.6070678	0.4072169	-2.327007	DifEc
Rtn4rl1	11	75193783	75267769	+	3.0966992	1.9159899	-1.8976141	DifEc
Scarf1	11	75513540	75526582	+	1.0955325	-0.9102652	-0.93377376	DifEc
Pipox	11	77880615	77894096	-	4.2814503	2.1521752	-0.18078627	DifEc
Tmem100	11	90030348	90036508	+	3.3387835	1.4894316	2.166128	DifEc
Mpp3	11	101999652	102028461	-	3.4137208	1.6967236	-0.07200987	DifEc
Kcnh6	11	106008124	106034549	+	1.8352966	-1.1252782	-1.5671409	DifEc
Galr2	11	116280939	116283938	+	1.043238	2.1521752	-1.2070975	DifEc
Slc16a3	11	120948480	120960868	+	9.17131	7.056584	7.8155594	DifEc
Dnmt3a	12	3806007	3914443	+	8.118583	6.3860507	7.003133	DifEc
Id2	12	25093801	25096092	-	7.956529	6.4537687	5.467409	DifEc
Dhrs7	12	72650356	72664828	-	4.4916244	3.679314	3.5249918	DifEc
Rps6kl1	12	85135596	85151264	-	2.0885122	-0.39347425	1.2595577	DifEc
Batf	12	85686669	85709087	+	-1.3179495	-4.610705	-2.5785456	DifEc
Rapgef5	12	117516479	117756978	+	5.7322745	2.1468518	0.36898687	DifEc
Sp8	12	118846329	118852578	+	7.288424	5.697179	5.1689014	DifEc
Idi1	13	8885501	8892451	+	5.9938383	4.660758	4.906165	DifEc
Aoah	13	20794119	21024252	+	0.97381675	-1.2047126	-1.5558256	DifEc
Nhlrc1	13	47012558	47014850	-	0.5655365	-6.932633	-1.970863	DifEc
Id4	13	48261427	48264036	+	1.6569594	1.5791196	-0.27042344	DifEc
Cxcl14	13	56288647	56296551	-	0.83529675	-4.932633	-3.7484708	DifEc
Ssbp2	13	91460283	91703429	+	5.2061534	4.0259194	3.5782797	DifEc
Ndrg2	14	51905271	51913488	-	5.120699	3.0813873	2.7027404	DifEc
Sall2	14	52311172	52328762	-	5.749068	4.0439315	3.7053878	DifEc
Jph4	14	55106830	55116935	-	3.523642	0.98623013	-1.5558256	DifEc
Tdh	14	63492347	63509092	-	6.374576	4.0150037	1.9199078	DifEc
Tnfsf11	14	78277445	78308043	-	1.2034479	-4.125278	-3.5558255	DifEc
Slitrk5	14	111675115	111683134	+	4.2752805	0.5431003	1.9310093	DifEc
Abcc4	14	118482692	118706219	-	3.7518475	2.5451252	0.8407791	DifEc
Slc1a3	15	8634124	8710764	-	6.170029	4.036753	3.3367174	DifEc
Cdh9	15	16778101	16857094	+	1.442455	-5.932633	-8.555826	DifEc
Mal2	15	54571366	54602846	+	3.0468645	2.3223956	-1.98597	DifEc
Enpp2	15	54838898	54920146	-	4.084401	3.4883797	1.4651544	DifEc
Ly6e	15	74955051	74959905	+	6.4417663	5.0006886	5.368894	DifEc
Naprt1	15	75890964	75894481	-	4.1739035	2.889141	0.8891892	DifEc
Cbx7	15	79915807	79971119	-	6.0205183	5.5077167	1.6932877	DifEc
Pmm1	15	81951108	81960930	-	5.351547	4.002532	4.9271083	DifEc
AC105358.1	15	82206952	82212815	-	1.1278503	-2.1777456	-1.84158	DifEc
Bik	15	83526862	83544635	+	1.4239824	1.4682463	-1.1379731	DifEc
Mapk12	15	89130585	89140703	-	4.990546	4.1699986000000004	2.0187678	DifEc
Mapk8ip2	15	89453913	89464468	+	5.0435405	0.38929498	1.8017263	DifEc
Abcd2	15	91145884	91191807	-	2.3728914	-0.88823897	-0.08822009	DifEc
Lrrk2	15	91673175	91816120	+	3.9738166	1.900257	0.021603225	DifEc
Nell2	15	95219451	95528706	-	3.371928	1.6523296	2.0263162	DifEc
Ifitm7	16	13981702	13986855	-	2.7695136	0.36198765	0.047800727	DifEc
Gap43	16	42248442	42340651	-	4.37241	-0.24613252	2.3503134	DifEc
Cd200	16	45382135	45409053	-	-0.34304047	1.181109	-0.051999923	DifEc
Dact2	17	14195231	14203831	-	3.0002425	1.271938	0.9657748	DifEc
Syngr3	17	24685092	24689955	-	3.3622584	0.8552695	-0.27505487	DifEc
Lhfpl5	17	28575718	28583593	+	0.96872777	-4.932633	-8.555826	DifEc
Abcg1	17	31057698	31115777	+	4.9194665	3.3235757	0.6090813	DifEc
AU023871	17	35062693	35066184	-	1.0814574	-0.15127335	-1.6610078	DifEc
H2-Q6	17	35424850	35430055	+	2.1527445	0.5431003	-0.6916394	DifEc
Pou5f1	17	35506037	35510776	+	9.784558	8.541358	8.788591	DifEc
Fsd1	17	55986511	55996881	+	5.168088	4.0353136	3.1511018	DifEc
Tubb4a	17	57080066	57087782	-	6.855426	5.32151	5.9294376	DifEc
Tnfsf9	17	57105385	57107757	+	4.0426326	1.9284538	2.6986125	DifEc
Calm2	17	87433412	87446935	-	10.43353	10.069116	9.8511305	DifEc
Ankrd29	18	12252362	12305720	-	1.1459978	-5.932633	-1.1549461	DifEc
Klhl14	18	21550377	21654718	-	2.754807	1.3802497	-0.78764135	DifEc
Syt4	18	31437808	31447415	-	2.1186905	-7.084636	-1.1549461	DifEc
Wnt8a	18	34542313	34548273	+	4.759603	2.730925	3.3980072	DifEc
Jakmip2	18	43531408	43687773	-	4.4902935	2.6542068	1.3837535	DifEc
St8sia3	18	64254359	64276146	+	4.967134	2.4831088	3.0375655	DifEc
Grp	18	65872820	65886578	+	1.5383149	-4.3476706	-5.096394	DifEc
Tbc1d10c	19	4184358	4191047	-	0.5314287	-7.084636	-1.2159756	DifEc
1700019N12Rik	19	6922426	6925380	-	-0.31794947	-4.3476706	-2.6978445	DifEc
Gng3	19	8836929	8839246	-	6.291038	4.1151724	4.4798326	DifEc
Cd6	19	10789341	10830058	-	1.299803	-2.2887769	-2.6978445	DifEc
Tfe3	X	7762560	7775202	+	6.416176	4.493632	4.587398	DifEc
Pim2	X	7878262	7883432	+	9.978848	6.3411627	5.1587415	DifEc
Glod5	X	8004200	8018492	-	1.4787056	0.03315125	-2.3660011	DifEc
Xk	X	9272756	9313250	+	2.4982617	1.0389105	-0.96336854	DifEc
Ndp	X	16885521	16911774	-	0.12785031	-3.932633	-2.1982737	DifEc
Mtap7d3	X	56797858	56822326	-	6.055891	2.97726	2.8170393	DifEc
Mcf2	X	60055956	60179089	-	5.3286405	0.9065707	-1.2704234	DifEc
Sox3	X	60891370	60893430	-	2.929978	-0.24613252	-2.4060786	DifEc
Gabra3	X	72432681	72656848	-	4.4452057	2.705803	1.4483949	DifEc
Pdzd4	X	73793359	73824969	-	6.6790357	4.2497616	3.385589	DifEc
Nr0b1	X	86191764	86195947	+	2.2142384	-4.610705	-4.855386	DifEc
Slc7a3	X	101079210	101086020	-	8.060233	3.869883	3.3210752	DifEc
Nap1l2	X	103184176	103186640	-	3.077917	0.75386745	1.5048702	DifEc
Lpar4	X	106920625	106933900	+	6.9756413	5.49232	5.412391	DifEc
Tmem35	X	134295225	134305969	+	2.9546402	-0.19116609	0.65362775	DifEc
Rragb	X	153139981	153171943	+	4.588941	2.889141	2.9643018	DifEc
Ptchd1	X	155573455	155623814	-	2.2120867	-2.6107051	-3.0322635	DifEc
