gene	chr	starts	ends	strand	ecto	endo	meso	set
Lrriq4	3	30644507	30672431	1	-5.3786993	-0.28571433	-4.242821	DifEn
Cldn11	3	31149946	31164324	1	-1.606	1.9112692	-1.6136531	DifEn
Kcnmb2	3	31902507	32200180	1	-0.75732636	2.8786013	-1.3913218	DifEn
Ccdc39	3	33844310	33812362	0	0.36976227	3.4131367	0.41216072	DifEn
Qrfpr	3	36222275	36179424	0	-2.8105507	1.0205132	-8.559691	DifEn
Anxa5	3	36475843	36448925	0	1.8301195	5.6738043	3.9956145	DifEn
Cetn4	3	37312708	37307749	0	-4.9244814	0.7035406	-1.8943133	DifEn
Intu	3	40531286	40704774	1	0.25993532	2.8882608	0.09848353	DifEn
Serp1	3	58525873	58521969	0	6.7541475	7.430772	6.737192	DifEn
Mlf1	3	67374097	67400003	1	2.4690943	6.7782497	2.6751504	DifEn
Zbbx	3	75165034	75037907	0	-3.2288046	3.118886	-6.0945363	DifEn
Glrb	3	80913660	80843599	0	-2.7446468	0.08412535	-3.231867	DifEn
Fgb	3	83049803	83042247	0	-7.782199	-0.29394016	-8.169884	DifEn
Tlr2	3	83841767	83836273	0	-8.65619	-0.8559865	-9.043874	DifEn
Apoa1bp	3	88058495	88056523	0	5.8637924	6.822716	6.0530977	DifEn
Riiad1	3	94473591	94464985	0	1.6590446	6.7491927	1.7192216	DifEn
Tuft1	3	94658872	94612757	0	-1.3534718	2.2958183	0.04785646	DifEn
Lysmd1	3	95134088	95139518	1	0.40501988	2.6164787	0.17461625	DifEn
Txnip	3	96557957	96561883	1	2.2396011	4.1577883	0.9559616	DifEn
Cd2	3	101287939	101275899	0	-4.712902	0.19163775	-2.5770245	DifEn
Casq2	3	102086415	102146514	1	-8.517056	-0.60137683	-7.167776	DifEn
Tshb	3	102782714	102777398	0	-2.5799172	0.55547017	-6.820044	DifEn
Slc16a1	3	104638668	104658462	1	5.2295165	8.498312	5.852606	DifEn
Mov10	3	104818563	104794836	0	0.47227037	2.893226	-0.6408461	DifEn
1700027A23Rik	3	106014646	105996957	0	1.5834118	7.5101204	0.23420142	DifEn
Chia	3	106113229	106132120	1	-5.256299	-0.71913016	-8.380948	DifEn
Larp7	3	127553348	127536954	0	7.196046	8.380082	6.8644104	DifEn
Cfi	3	129836739	129875328	1	-3.5723884	0.18599436	-8.504394	DifEn
Casp6	3	129901425	129914103	1	3.7813034	5.1800165	3.8289049	DifEn
Sgms2	3	131344940	131318985	0	-2.9279244	0.47879702	-4.2698054	DifEn
Slc39a8	3	135825279	135888572	1	-0.26988274	4.104191	1.5261041	DifEn
Mttp	3	138143388	138089855	0	-1.2528646	1.9123505	-0.30959177	DifEn
AI747448	3	144932529	144910921	0	-3.6891499	-0.36001837	-6.884189	DifEn
Odf2l	3	145118589	145153915	1	2.62129	4.4202876	2.36521	DifEn
Cyr61	3	145649985	145646971	0	1.1086155	4.3836474	2.5793843	DifEn
Wdr63	3	146108130	146040526	0	-7.05529	1.985227	-5.0279374	DifEn
Lpar3	3	146220961	146286214	1	-3.3245568	3.457499	0.42799246	DifEn
Gipc2	3	152166230	152093533	0	-2.6884673	1.2511957	-3.9327874	DifEn
Tmem67	4	12090020	12039355	0	-0.30955863	2.2065349	0.24010637	DifEn
Ripk2	4	16163647	16122733	0	2.029037	4.1775503	2.074505	DifEn
Klhl32	4	24851124	24612554	0	-1.6766899	2.1038175	-1.2831033	DifEn
1700003M02Rik	4	34730206	34688559	0	-2.418296	4.897382	-0.52057815	DifEn
Chmp5	4	40948407	40965303	1	6.3449793	7.1763344	6.54787	DifEn
Dnaic1	4	41569775	41638158	1	-2.1037061	2.3131683	-7.7767925	DifEn
Arid3c	4	41731142	41723836	0	-1.5485399	1.7622783	-1.6341954	DifEn
Spag8	4	43653594	43651335	0	-1.7879251	4.6934557	-3.278703	DifEn
Tmem8b	4	43668971	43692668	1	-3.1767998	-0.07508821	-5.073498	DifEn
Shb	4	45532470	45423278	0	-0.40573144	1.9830652	-0.82347286	DifEn
E230008N13Rik	4	45890303	45950774	1	-5.9948707	0.72371864	-9.856486	DifEn
Lpar1	4	58553898	58435255	0	1.7006185	4.3549123	2.4671254	DifEn
Ptgr1	4	58987119	58965439	0	1.892112	3.9284089	2.109386	DifEn
Slc31a2	4	62262562	62298411	1	0.84476376	3.695231	1.6371694	DifEn
Ambp	4	63154799	63143275	0	-7.5596604	-0.5718305	-6.795342	DifEn
Kif12	4	63172131	63165634	0	-8.828401	0.07800206	-9.2160845	DifEn
Orm3	4	63356162	63359511	1	-6.693529	-0.47828862	-7.0812135	DifEn
Cer1	4	82885148	82881751	0	1.0602459	9.620755	5.483802	DifEn
Frem1	4	83052339	82897920	0	-1.460684	1.5033545	-1.102941	DifEn
Ift74	4	94614491	94693229	1	4.599972	6.323609	4.851959	DifEn
Ube2u	4	100478849	100550147	1	-2.106838	2.696716	-4.1134324	DifEn
Tctex1d1	4	102986379	103005594	1	-2.3763068	5.2589297	1.4890752	DifEn
Wdr78	4	103114555	103038065	0	-2.5534463	1.3217188	-1.1812646	DifEn
Dmrtb1	4	107684230	107676290	0	-8.123652	0.014421006	-3.5013518	DifEn
Txndc12	4	108834601	108862127	1	4.1212654	5.3621087	4.2634616	DifEn
Spata6	4	111719984	111829184	1	1.0414507	3.668203	1.9080576	DifEn
Slc5a9	4	111902918	111875375	0	-9.4390545	1.281336	-9.826739	DifEn
Pdzk1ip1	4	115088708	115093899	1	-2.573316	2.1985583	-1.7046608	DifEn
4930544O15Rik	4	115781018	115779834	0	-6.7466636	0.13154253	-3.3973818	DifEn
Dmbx1	4	115939926	115914544	0	-5.276101	-0.41931427	-6.5262814	DifEn
Tspan1	4	116167601	116161869	0	-8.132696	1.351203	-7.520381	DifEn
Tmem53	4	117251951	117268582	1	-1.712231	1.3201454	-2.1703048	DifEn
Ccdc24	4	117872557	117866524	0	-3.407597	-0.21804324	-3.634817	DifEn
Dnali1	4	125065703	125055338	0	-3.1985147	3.1518855	-3.3060913	DifEn
Oscp1	4	126058565	126092195	1	0.09020273	3.403094	0.41704923	DifEn
1700029G01Rik	4	126163491	126150602	0	-4.0330725	0.39006108	-7.157722	DifEn
Tekt2	4	126325688	126322121	0	-0.7097021	4.9142504	-4.767238	DifEn
Tinagl1	4	130175122	130164454	0	-9.188655	0.82964027	-3.5914462	DifEn
Fam76a	4	132922558	132899213	0	1.6673558	4.0353312	2.4676557	DifEn
Sytl1	4	133263113	133253090	0	-0.17380165	2.0339108	-3.3475459	DifEn
Nipal3	4	135495038	135445420	0	-2.2896485	0.61724687	-3.4672472	DifEn
4930555I21Rik	4	135494790	135537803	1	-8.675689	-0.97932166	-8.911369	DifEn
Ldlrad2	4	137574569	137572083	0	-4.107073	0.69313025	-2.172829	DifEn
Vwa5b1	4	138635884	138565360	0	-5.7899213	2.237515	-0.024277432	DifEn
Ubxn10	4	138737167	138709837	0	-2.196394	3.8471735	-2.7767234	DifEn
Pla2g5	4	138863482	138799244	0	-6.1191287	-0.75332874	-6.0213866	DifEn
Igsf21	4	140246784	140026846	0	0.42867208	3.3016167	0.40105882	DifEn
Epha2	4	141301240	141329384	1	2.0044637	4.4380054	1.8044685	DifEn
Fhad1	4	142015082	141890438	0	-7.5314593	1.6916494	-9.919144	DifEn
Dhrs3	4	144892827	144928209	1	-2.9388463	2.600829	-1.992112	DifEn
Cort	4	149126763	149125034	0	-4.3502135	1.0587989	-4.41597	DifEn
Morn1	4	155086577	155145505	1	-1.0873792	1.8096088	-1.3189443	DifEn
Tmem52	4	155469114	155470858	1	-7.2753778	-0.6007055	-7.663062	DifEn
Ttll10	4	156059344	156034840	0	-5.4593496	1.28196	-9.320965	DifEn
A330021E22Rik	5	5664239	5579278	0	-2.2012224	3.0278237	-1.1675775	DifEn
Ccdc146	5	21424677	21292961	0	-5.4543357	2.5448856	-6.426982	DifEn
Fbxl13	5	21645605	21483847	0	-6.717865	-0.06966546	-5.1986594	DifEn
Cnpy1	5	28245792	28200819	0	-1.1440097	2.510708	-2.5637045	DifEn
Shh	5	28467101	28456815	0	-5.171739	1.8881549	-7.144386	DifEn
Rnf32	5	29195992	29225524	1	-2.322241	4.3836865	0.23720251	DifEn
Ccdc164	5	30281388	30366708	1	-0.5962944	4.1766944	-5.1539035	DifEn
Mapre3	5	30814641	30866106	1	-1.1501064	1.6009184	-1.4398155	DifEn
Cgref1	5	30945480	30933146	0	0.120702684	2.5223563	-3.5400004	DifEn
Gckr	5	31297581	31327300	1	-4.7516913	1.6859418	-4.724338	DifEn
Ppp1cb	5	32458974	32517433	1	5.24516	7.0323253	5.6208777	DifEn
Tnip2	5	34513997	34496087	0	-8.590557	-0.33092195	-4.2412753	DifEn
Lrpap1	5	35105766	35091490	0	4.6255913	6.1452193	4.564036	DifEn
Htra3	5	35679782	35652041	0	-3.0036054	0.78159535	-9.401274	DifEn
Ccdc96	5	36484588	36488171	1	-2.0403109	2.800534	-1.9623317	DifEn
Fgfbp1	5	43981762	43978865	0	0.38021675	5.0984263	-1.0810487	DifEn
Slc34a2	5	53038082	53071664	1	-9.390088	-0.18995374	-9.777772	DifEn
Arap2	5	62766198	62602445	0	-3.4516895	0.40740743	-3.6694486	DifEn
Chrna9	5	65934921	65977326	1	-4.4191155	4.2986875	-4.5019455	DifEn
Rbm47	5	66173117	66016549	0	0.012919446	4.0161095	0.8108356	DifEn
Nsun7	5	66259912	66298016	1	-3.978474	-0.70800394	-5.0232706	DifEn
Atp8a1	5	67847432	67618140	0	-1.1531059	1.5234199	-0.9269726	DifEn
Kctd8	5	69341709	69109285	0	-2.339943	0.59289795	-2.0340543	DifEn
Corin	5	72504473	72300025	0	-6.5385904	-0.27521315	-9.8856325	DifEn
Spata18	5	73651380	73679484	1	-7.913707	0.541848	-8.453395	DifEn
Afp	5	90490714	90508907	1	-8.125729	2.3215337	-8.513412	DifEn
Areg	5	91139615	91148432	1	-5.589855	-0.6090797	-5.240574	DifEn
Parm1	5	91517615	91626894	1	-2.0844772	3.2061532	-1.2713993	DifEn
Cdkl2	5	92043042	92006074	0	-1.6180303	2.3950214	-2.3369205	DifEn
Fgf5	5	98254184	98277030	1	3.4962525	6.036997	1.4509664	DifEn
Mapk10	5	103211334	102907948	0	-2.572684	1.2528301	-9.195585	DifEn
Aff1	5	103692374	103855322	1	1.082689	3.098953	0.29542255	DifEn
Sparcl1	5	104114088	104079111	0	-8.703758	1.8304019	-1.7795677	DifEn
Iqcd	5	120589016	120607114	1	0.22463514	2.7331564	-1.6194276	DifEn
Oas1d	5	120914536	120921652	1	-1.5882051	2.6270354	-8.467743	DifEn
Tctn1	5	122264460	122241287	0	0.15375952	2.7541447	-0.73808813	DifEn
1500011H22Rik	5	122372364	122364580	0	3.4989402	4.910864	3.6619925	DifEn
Ift81	5	122614518	122550204	0	2.4316635	4.683954	2.768683	DifEn
Morn3	5	123047016	123035769	0	-7.3491473	1.8570477	-5.15187	DifEn
Lrrc43	5	123489325	123508205	1	-4.0389013	2.948225	-1.7788874	DifEn
B3gnt4	5	123510460	123511882	1	0.31954548	2.8078976	0.71395624	DifEn
Fam101a	5	125003447	125012547	1	-0.040261284	2.8426864	-1.135553	DifEn
Stx2	5	129008574	128984557	0	-0.43957445	2.57744	0.018570354	DifEn
Zp3	5	135980099	135988624	1	-7.468802	-0.83852375	-7.856486	DifEn
Orai2	5	136170656	136147464	0	-4.608417	0.62755495	-4.4891415	DifEn
Rabl5	5	136908150	136913244	1	3.52413	5.9524317	4.464074	DifEn
Pilrb1	5	137858049	137852147	0	-7.093558	0.3696101	-5.744277	DifEn
Pilrb2	5	137871758	137865829	0	-7.7665825	1.3116055	-8.306271	DifEn
Cyp3a13	5	137921619	137892932	0	-8.628635	-0.52262366	-9.01632	DifEn
Fam20c	5	138754514	138810077	1	-3.3473978	0.6669301	-3.651018	DifEn
Gpr30	5	139423151	139427800	1	-3.0861843	2.3719127	-6.3218656	DifEn
Tmem184a	5	139819917	139802485	0	-1.7813224	0.79128003	-7.3784604	DifEn
Rsph10b2	5	143933035	143985719	1	-2.3757944	1.9098355	-3.4098418	DifEn
Nptx2	5	144545887	144557478	1	2.0374472	3.5957692	1.0778877	DifEn
Smurf1	5	144965847	144876495	0	-2.0767121	0.8617189	-1.8349593	DifEn
Rxfp2	5	150018675	150082184	1	-3.603371	-0.07446983	-7.2134476	DifEn
Tfpi2	6	3968375	3962594	0	-7.67852	1.141582	-2.0315588	DifEn
Gng11	6	4003943	4008445	1	0.6112888	4.5392475	1.5772414	DifEn
Pdk4	6	5496309	5483351	0	-8.876871	0.084324084	-3.5275896	DifEn
Shfm1	6	6578652	6558283	0	9.370941	9.956001	9.652989	DifEn
Tmem106b	6	13069759	13089269	1	1.3985494	3.3993034	1.0284473	DifEn
Tfec	6	16898441	16833381	0	-7.8960557	-0.075952835	-8.28374	DifEn
Iqub	6	24515067	24444865	0	-3.196315	4.637678	-4.0396786	DifEn
Tspan33	6	29694222	29718559	1	-0.9020923	1.4024844	-3.8198128	DifEn
Slc13a4	6	35308131	35267957	0	-0.0284646	3.2621646	0.17330094	DifEn
Ttc26	6	38381469	38427647	1	1.7437792	4.47697	2.0228393	DifEn
Tas2r108	6	40493592	40494485	1	-6.9033356	-0.14377452	-7.29102	DifEn
Prss1	6	41458932	41463786	1	-6.75205	2.2445507	-2.528299	DifEn
Nobox	6	43309562	43303674	0	-3.5918167	-0.25294495	-8.379432	DifEn
Tpk1	6	43666278	43345001	0	-0.8925932	2.3878932	0.30980992	DifEn
Tmem176b	6	48841374	48833811	0	2.1395571	3.64931	1.5577114	DifEn
Tmem176a	6	48841483	48845364	1	2.57944	4.919764	1.4043987	DifEn
Npy	6	49822710	49829507	1	-6.243863	1.3864154	-6.631547	DifEn
Snx10	6	51523901	51590679	1	4.052211	5.1730485	2.6500568	DifEn
Creb5	6	53573384	53696007	1	-5.346183	-0.71590465	-7.3188295	DifEn
Scrn1	6	54566489	54505890	0	-5.586068	-0.6052931	-10.518073	DifEn
Aqp1	6	55336432	55348555	1	-8.4584055	-0.38518357	-5.694086	DifEn
Fam13a	6	59024549	58932090	0	-3.4872725	1.8649893	-1.3440342	DifEn
Cd8a	6	71373427	71379171	1	-8.711152	-0.08087353	-5.7769074	DifEn
Dqx1	6	83057844	83067210	1	2.4222245	4.114355	2.1788626	DifEn
Stambp	6	83572504	83543206	0	0.8758335	3.182481	1.1391256	DifEn
Noto	6	85423886	85429602	1	-0.033424843	7.7369194	-2.9044313	DifEn
Anxa4	6	86793584	86736840	0	0.63776106	3.2540011	-0.06467288	DifEn
Hdac11	6	91156665	91174692	1	-1.0501145	1.6569792	-1.3026392	DifEn
Wnt7a	6	91411363	91363981	0	-2.6957355	3.012336	-9.118066	DifEn
Trh	6	92244650	92242061	0	6.794967	8.684516	0.24729432	DifEn
Fam19a4	6	97060411	96831209	0	-2.231282	1.6442091	-5.426321	DifEn
Frmd4b	6	97617541	97286867	0	-1.2667524	1.3058816	-1.1758125	DifEn
Syn2	6	115134902	115282626	1	-9.562218	-0.898517	-9.797899	DifEn
Tmem40	6	115762466	115729131	0	-7.047864	-0.592309	-3.911986	DifEn
BC060267	6	115838412	115810729	0	-0.6186791	2.7465613	-3.7137225	DifEn
Ret	6	118197744	118151748	0	-3.9816074	2.0021956	-0.13635702	DifEn
Ninj2	6	120093350	120200339	1	-0.37616315	4.240369	1.3128451	DifEn
Slc2a3	6	122801640	122727809	0	5.51185	7.3558464	4.5854955	DifEn
Grcc10	6	124741374	124739183	0	5.0078373	6.7406054	5.518383	DifEn
Atn1	6	124756524	124739189	0	3.5014863	5.114995	4.0045824	DifEn
Lrrc23	6	124779727	124769863	0	-2.247658	4.265041	-8.246778	DifEn
Lpar5	6	125067920	125082472	1	-1.784383	1.3322935	-5.3150253	DifEn
Cd9	6	125494791	125460266	0	4.035044	5.171425	2.7672827	DifEn
Clec1b	6	129397297	129409335	1	-9.416335	-0.28621066	-4.3300877	DifEn
Bcl2l14	6	134396318	134438736	1	-2.0757797	1.0596075	-2.6473281	DifEn
Cdkn1b	6	134920401	134925513	1	1.866298	3.7786005	2.1485474	DifEn
Gprc5a	6	135065651	135084709	1	-3.8017237	3.0164013	-2.1305144	DifEn
Emp1	6	135362931	135383173	1	-3.3499768	2.1407676	-5.207146	DifEn
Plbd1	6	136661928	136612070	0	-0.5283334	2.3233998	0.057509903	DifEn
Iapp	6	142298423	142303961	1	-7.026983	0.38465533	-7.4146667	DifEn
St8sia1	6	142964452	142821545	0	-8.525732	-0.5396619	-5.1764503	DifEn
4833442J19Rik	6	149139849	149151171	1	3.047007	4.482881	2.435672	DifEn
Tmc4	7	3677524	3665790	0	1.2616152	2.973514	1.133727	DifEn
Cdc42ep5	7	4164860	4151260	0	3.3648357	4.741253	2.4621916	DifEn
Tnni3	7	4524229	4518305	0	-2.1321704	0.5370474	-3.9258468	DifEn
6030429G01Rik	7	4532453	4522933	0	0.13352983	3.5669503	-1.0359744	DifEn
Syt5	7	4546567	4539768	0	1.0100552	3.0687487	-5.1055493	DifEn
Tmem190	7	4782940	4784341	1	-1.894031	2.7957482	0.17079704	DifEn
Sbk2	7	4964348	4957081	0	-2.9308286	1.5272685	-3.318513	DifEn
