gene	chr	start	end	strand	ecto	endo	meso	set
Rc3h2	2	37370069	37422903	-	5.6117682	5.732925	5.5095906	Sim
Stam2	2	52691664	52742281	-	4.830045	5.0450044	5.0256104	Sim
Baz2b	2	59899363	60209839	-	4.969046	5.8696814	5.8613677	Sim
Scn2a1	2	65620857	65767447	+	0.003978659	0.38024983	-0.21597569	Sim
Fastkd1	2	69686815	69713516	-	4.785881	3.4862738	4.805844	Sim
Gorasp2	2	70661576	70712636	+	6.7460966000000004	7.13841	7.15525	Sim
Slc25a12	2	71271063	71367749	-	3.2302744	2.5830667	3.2483056	Sim
Dfnb59	2	76648476	76658556	+	-1.8905281	-2.4732015	-1.0800922	Sim
Zc3h15	2	83644435	83664622	+	7.5199504	7.1884956	7.5306835	Sim
Fam171b	2	83812636	83883486	+	4.448865	4.2913685	3.2308524	Sim
Mtch2	2	90847155	90866810	+	8.806573	8.5941105	8.640345	Sim
Celf1	2	90940382	91019497	+	8.440273	8.095057	8.432759	Sim
Trim44	2	102300119	102407828	-	5.4500065	5.046792	5.790619	Sim
Lmo2	2	103957986	103981878	+	0.96362096	3.808834	3.5989926	Sim
Ccdc73	2	104867805	105017904	+	3.4230525	3.3631358	3.4110403	Sim
Eif3m	2	104999656	105017080	-	9.078766	8.7441225	8.971773	Sim
Rcn1	2	105386291	105399319	-	6.7763557	7.191892	7.190715	Sim
Kif18a	2	109280738	109341747	+	5.990233	5.630325	5.3197317	Sim
Ino80	2	119373042	119477687	-	4.379138	3.842977	4.049654	Sim
Mfap1a	2	121491911	121506665	-	4.6037893	4.6414876	4.6366215	Sim
Usp8	2	126707328	126759297	+	6.3345866	6.475829	6.5989923	Sim
Mal	2	127633226	127656695	-	-0.800891	-0.45689973	-2.970863	Sim
Ebf4	2	130295169	130370481	+	-3.4754908	-0.9326331	-2.9411159	Sim
Rnf24	2	131298064	131352892	-	2.9952464	3.8163981	3.3980072	Sim
5730494N06Rik	2	132239492	132247807	-	4.5357366	5.0226536	5.0299582	Sim
Rrbp1	2	143947395	144011263	-	6.8753633	7.0429463	6.4898486	Sim
Csnk2a1	2	152226839	152281852	+	8.921464	8.682307	8.953153	Sim
Tbc1d20	2	152293828	152313996	+	4.33236	4.7901745	4.7764907	Sim
Raly	2	154791096	154867261	+	8.443946	8.094064	8.4345	Sim
Edem2	2	155701677	155729475	-	4.596384	5.2366657	4.867684	Sim
Gdap1l1	2	163438476	163455324	+	4.252953	1.3847796	3.669984	Sim
Ywhab	2	163994960	164018588	+	9.019269	8.827308	9.023733	Sim
Wfdc13	2	164685107	164687706	+	-1.5320742	-2.932633	-2.1982737	Sim
Sall4	2	168748332	168767943	-	9.3042755	9.220681	9.030582	Sim
Gm14306	2	176670522	176719085	+	1.071997	-0.28877687	1.183955	Sim
9030418K01Rik	2	178414524	178424428	+	1.8380901	0.41609514	1.2107033	Sim
Zbtb46	2	181387762	181459426	-	3.001489	3.0883466999999998	2.9920328	Sim
Mrps28	3	8802146	8923918	-	6.6637654	6.7077246	6.758616	Sim
Pde7a	3	19223108	19311322	-	5.629209	5.5410724	5.788054	Sim
Prkci	3	30995747	31052741	+	5.4207253	5.224398	5.581806	Sim
Acad9	3	36065979	36094944	+	6.342108	5.912857	6.3793855	Sim
Bbs7	3	36573142	36613477	-	3.3815331	4.642433	4.0771694	Sim
Ankrd50	3	38449261	38484844	-	4.9194665	4.9892077	4.3619194	Sim
Rab33b	3	51483966	51495905	+	2.8127542	3.1131268	2.7666657	Sim
Ufm1	3	53855212	53863830	-	5.962981	6.1511784	6.09315	Sim
Rap2b	3	61364507	61368703	+	5.7817154	5.288954	5.6438465	Sim
Dhx36	3	62470039	62507004	-	6.6438494	6.426979	6.499287	Sim
Kpna4	3	69067149	69127113	-	6.667794	6.0761456	6.066855	Sim
B3galnt1	3	69574186	69598861	-	2.2355807	2.9951448	3.7405171	Sim
Serpini1	3	75557547	75643495	+	2.3098989	1.0098814	1.5329626	Sim
Cd1d1	3	86995834	86999441	-	1.5689033	0.9802562	0.76835483	Sim
Gon4l	3	88835231	88910103	+	5.4047995	5.3356166	5.5080748	Sim
Ash1l	3	88965812	89079373	+	5.5363817	5.750142	5.5454936	Sim
Clk2	3	89164795	89176921	+	4.988348	4.7995343	4.7596073	Sim
Ubap2l	3	89999589	90052475	-	8.227248	7.786702	8.301049	Sim
Ints3	3	90391380	90433636	-	6.3964143	6.4705124	6.3575783	Sim
Rfx5	3	94954075	94961561	+	2.908878	2.7764509	2.8834858	Sim
Psmd4	3	95032694	95042614	-	8.451318	8.150223	8.464438	Sim
Gabpb2	3	95181766	95217916	-	6.2450824	6.0540977	6.129635	Sim
Gdap2	3	100162381	100206981	+	3.8219547	4.6958127	4.246287	Sim
Ap4b1	3	103809520	103822025	+	4.0498796	4.6537375	4.30623	Sim
6530418L21Rik	3	105704599	105720842	+	1.2628615	-0.34767053	0.47208035	Sim
Frrs1	3	116878227	116903750	+	5.7243705	5.5165157	4.285149	Sim
Rwdd3	3	121155400	121171695	-	0.8574925	2.024469	1.9987631	Sim
Ank2	3	126921607	126998452	-	4.270636	3.9629421	2.960859	Sim
Alpk1	3	127670399	127780527	-	-3.716499	-2.2887769	-0.18513829	Sim
Cisd2	3	135406412	135423925	-	7.1432476	7.169835	7.291672	Sim
Adh5	3	138443093	138455499	+	8.52954	8.153544	8.489614	Sim
Cth	3	157894248	157925077	-	6.0908566	5.86766	5.878412	Sim
Otud6b	4	14809498	14826587	-	7.160018	6.826215	7.175414	Sim
Ndufaf4	4	24898083	24905001	+	7.121057	6.926513	7.277756	Sim
Rngtt	4	33310311	33502614	+	5.816123	5.241044	5.717096	Sim
Cnr1	4	33924593	33948831	+	0.40149844	0.37114766	1.3675019	Sim
Nfx1	4	40970906	41025993	+	7.2958083	6.967762	7.380605	Sim
Atp8b5	4	43267159	43373833	+	-1.503505	-1.9784368	0.06622619	Sim
Rusc2	4	43381979	43427088	+	0.15498649	-0.6288523	-1.2890391	Sim
4930412F15Rik	4	43659622	43669145	-	4.2840137	4.4846916	4.402002	Sim
1300002K09Rik	4	45848664	45887008	+	-0.31794947	1.271938	-0.37591654	Sim
Tmod1	4	46038935	46116032	+	4.641453	4.512899	4.5482817	Sim
Anp32b	4	46450902	46472657	+	9.591232	9.026304	9.61581	Sim
Rad23b	4	55350043	55392237	+	6.5274324	6.225503	6.4252954	Sim
1110054O05Rik	4	59769637	59801589	-	6.3803363	5.774079	6.158796	Sim
Whrn	4	63414910	63495991	-	1.3977168	1.9682338	0.56051826	Sim
Dennd4c	4	86748555	86850603	+	3.5026698	3.2196517	2.9593816	Sim
Mier1	4	103114390	103165754	+	6.7859716	6.801865	6.8471866	Sim
Orc1	4	108579423	108614833	+	6.233593	5.30786	6.098363	Sim
St3gal3	4	117932154	118134914	-	2.2773402	1.9802562	2.8154063	Sim
Kdm4a	4	118136957	118180043	-	3.415592	3.854453	3.281408	Sim
Ppih	4	119300010	119320546	-	7.0139713	6.883751	6.973239	Sim
Rlf	4	121145373	121215084	-	5.98929	5.697179	5.9527116	Sim
Bmp8b	4	123105165	123132099	+	3.8616166	3.4831085	3.8343432	Sim
Bmp8a	4	123312645	123343252	-	-1.2451931	-0.074652106	-0.47367662	Sim
Rragc	4	123917446	123936997	+	2.7249362	3.8634067	3.6018372	Sim
Yars	4	129189760	129219607	+	7.229543	6.448504	7.062244	Sim
Marcksl1	4	129513581	129515985	+	8.425927	8.38492	8.650215	Sim
2610002D18Rik	4	134510999	134523927	+	5.1655884	4.8605638	5.223996	Sim
Hmgcl	4	135946448	135962617	+	5.5733104	5.203076	5.479575	Sim
Rpl11	4	136028265	136053428	-	10.068238	10.156228	10.172879	Sim
Pink1	4	138313409	138326307	-	2.6836045	4.0084143	3.4912984	Sim
Mrto4	4	139347435	139352576	-	7.4235754	6.956966	7.4101167	Sim
Spen	4	141467890	141538597	-	4.7847958	4.596309	4.9082093	Sim
Ube4b	4	149328416	149426749	-	6.8852715	6.7823634	6.848717	Sim
Ssu72	4	155704800	155733879	+	7.6509156	7.914033	7.9195595	Sim
Ankib1	5	3690000	3803109	-	3.7695134	3.2094738	4.0875797	Sim
Mll3	5	25271798	25498783	-	4.746654	5.099068	5.112838	Sim
Tyms	5	30058202	30073617	-	7.4280434	7.407982	7.514987	Sim
Fam53a	5	33600351	33629635	-	6.144729	5.8735137	6.0730753	Sim
Tada2b	5	36473670	36484285	-	2.804209	2.9530632	2.9209206	Sim
Tbc1d14	5	36490604	36593276	-	5.9399257	5.468246	5.8154745	Sim
Utp3	5	88554483	88556083	+	6.9498057	6.7819343	7.0737867	Sim
Slc4a4	5	88886818	89239653	+	4.1414824	4.3158875	5.1402726	Sim
Ung	5	114130386	114139323	+	6.647636	5.8980803	6.2037506	Sim
Rasal1	5	120648812	120679597	+	0.24192207	1.518578	0.22553402	Sim
Rhof	5	123103044	123132692	-	2.409032	2.4532294	2.0263162	Sim
Pitpnm2	5	124118690	124249760	-	3.0552907	2.4271164	2.8022761	Sim
Snrnp35	5	124483134	124491124	+	3.1301312	3.3294616	3.303321	Sim
Rilpl1	5	124493082	124531391	-	3.3690343	2.5206375	3.0934305	Sim
Mmp17	5	129584169	129608875	+	1.0861645	-0.20471267	1.6956568	Sim
Gusb	5	129989011	130003049	-	5.9068837	5.3481374	6.0110607	Sim
Eif4h	5	134619880	134639348	-	8.660392	8.265044	8.580635	Sim
Tmem120a	5	135735485	135744271	-	5.2521677	5.1869564	5.356877	Sim
Pop7	5	137501438	137502518	-	5.210471	5.3432	5.391081	Sim
Mblac1	5	138194314	138195621	+	1.9352052	1.6672798	2.135918	Sim
Elfn1	5	139907943	139974711	+	0.31592262	-0.44078	-5.5558257	Sim
Fbxl18	5	142866946	142895421	-	5.604404	5.6164293	5.7318864	Sim
Zdhhc4	5	143316489	143329256	-	4.554964	4.926513	4.9025807	Sim
Usp42	5	143710325	143732280	-	4.821249	5.004005	5.163456	Sim
Pms2	5	143909964	143937309	+	5.8521485	5.4944177	5.585643	Sim
Cpsf4	5	145167213	145182041	+	6.2611713	5.796563	6.1231046	Sim
Zfp655	5	145231723	145247302	+	5.324911	5.130088	5.3719525	Sim
Tmem168	6	13580687	13608100	-	4.5579324	4.555709	4.518483	Sim
Fam3c	6	22306520	22356243	-	4.908546	4.670993	5.21927	Sim
Luc7l2	6	38551334	38609470	+	6.2542605	6.2388563	6.168155	Sim
Svs1	6	48986861	48991725	+	-7.327934	2.3481378999999998	-0.774466	Sim
2410003K15Rik	6	49073795	49086751	+	7.005377	6.8990703	6.929752	Sim
Vopp1	6	57727807	57825154	-	3.1661441	4.956871	4.7373586	Sim
Nap1l5	6	58905234	58907126	-	-0.89052814	1.8617827	0.76835483	Sim
Tacstd2	6	67534059	67535822	-	0.70671254	2.0560515	-1.5224026	Sim
Aup1	6	83054653	83057680	+	5.195574	5.7654204	5.6240835	Sim
Mob1a	6	83326016	83343776	+	5.852321	6.049113	6.215561	Sim
Pcbp1	6	86524499	86526171	-	8.159181	7.982733	8.230686	Sim
Nr2c2	6	92091390	92173057	+	5.4640884	5.4445777	5.1583123	Sim
Trnt1	6	106769120	106782474	+	7.6208186	7.1788287	7.4814854	Sim
Rpusd3	6	113415319	113419348	-	4.7548065	4.845033	4.2595577	Sim
Rad52	6	119902698	119922828	+	4.2977753	4.128738	4.2263536	Sim
Usp5	6	124815019	124829484	-	7.5873337	7.277506	7.592492	Sim
Mlf2	6	124931388	124936138	+	8.182927	8.074482	8.110385	Sim
Ncapd2	6	125168009	125191595	-	7.79467	7.2037168	7.686325	Sim
Dusp16	6	134715473	134792625	-	3.2045307	3.931553	2.9867227	Sim
Rerg	6	137054825	137170497	-	3.652206	1.6857524	3.3574378	Sim
Pyroxd1	6	142345654	142363257	+	5.3236666	5.3625617	4.993357	Sim
Recql	6	142350342	142387087	-	5.5415316	5.361126	5.38164	Sim
Casc1	6	145174834	145210970	-	-1.44801	0.44240633	-2.6250882	Sim
Ccdc91	6	147475871	147632612	+	4.893855	5.1690145	4.850379	Sim
Ube2s	7	4808155	4812351	-	5.887802	5.6802354	6.057964	Sim
Kptn	7	16119895	16127516	+	4.218532	4.4569983	4.018768	Sim
Strn4	7	16815889	16840931	+	5.1661444	4.925348	5.384029	Sim
Prkd2	7	16842902	16870461	+	2.3651662	3.0588887	2.7393692	Sim
Fbxo46	7	19119859	19138261	+	4.13525	4.466645	4.2138057	Sim
Rtn2	7	19282662	19296164	+	2.0838127	1.1601241	1.4427646	Sim
Pvr	7	19903578	19921160	-	3.013894	4.367147	4.2487087	Sim
Zfp108	7	24257644	24261914	+	-0.1535626	-0.80335015	1.0934304	Sim
Rps19	7	24884371	24889806	+	10.202542	10.307786	10.334293	Sim
Hnrnpul1	7	25721498	25754730	-	4.962981	4.9640775	5.099817	Sim
Psmc4	7	28041707	28050101	-	8.854025	8.55734	8.78867	Sim
Ggn	7	29170220	29173933	+	-2.0884676	-1.2047126	-2.4265425	Sim
Zfp74	7	29930815	29954089	-	3.6553767	3.7952874	4.047337	Sim
Zfp382	7	30121942	30134665	+	1.8711934	1.7112231	2.0698833	Sim
Polr2i	7	30231948	30233390	+	6.701641	6.4868	6.790896	Sim
Cox6b1	7	30616974	30626151	-	8.72995	9.010064	8.973071	Sim
Plekhf1	7	38220654	38227994	-	2.0504818	2.8322384	2.8197567	Sim
Prr12	7	45027707	45052881	-	3.5705838	3.2889538	3.7829108	Sim
Sphk2	7	45709467	45718002	-	4.9384627	4.6760836	4.807351	Sim
Fam83e	7	45721212	45729492	+	1.3786584	1.1548297	1.5183158	Sim
Cyfip1	7	55841745	55930700	+	7.626687	7.5840516	7.5931277	Sim
Tarsl2	7	65644898	65692091	+	2.1661441	1.8811481	2.314539	Sim
Tm2d3	7	65691169	65701913	+	5.6490283	5.773647	5.4747553	Sim
Chsy1	7	66109515	66173789	+	5.414423	6.164411	6.1265106	Sim
Idh2	7	80094846	80115392	-	7.170306	7.012353	7.316248	Sim
Homer2	7	81600481	81706925	-	2.295745	2.2961855	2.3283448	Sim
Fah	7	84585159	84606722	-	2.754807	3.5928879	3.5705562	Sim
Rsf1	7	97579896	97692782	+	6.3322353	6.32608	6.2166953	Sim
Omp	7	98143360	98145502	-	-4.1759305	-5.932633	-3.2338974	Sim
Rnf169	7	99920254	99980458	-	4.548157	4.229129	4.2721124	Sim
Rnf121	7	102019137	102065469	-	4.7002025	5.315591	5.0122495	Sim
Pgap2	7	102210208	102238567	+	5.8233647	6.0428567	5.701341	Sim
Eif3f	7	108934417	108942951	+	8.441164	8.517676	8.48547	Sim
Eif4g2	7	111067985	111083030	-	10.262293	10.02609	10.22183	Sim
4933427G17Rik	7	120982509	121014787	+	-7.327934	-7.084636	-2.1635082	Sim
Tufm	7	126487355	126490730	+	7.2181306	6.704671	7.124836	Sim
Ctf1	7	127712736	127718185	+	1.7840714	2.5987482	2.352567	Sim
Plekha1	7	130865756	130913312	+	6.045808	6.186146	5.7459564	Sim
Zfp511	7	140036391	140040605	+	4.8749385	4.8338957	5.0265517	Sim
Deaf1	7	141297176	141327725	-	4.9276853	4.81136	4.6005735	Sim
Star	8	25808474	25814723	+	1.5245092	1.2961855	0.91381615	Sim
Fut10	8	31187331	31261738	+	4.7862425	4.229129	4.7261047	Sim
Ppp1r3b	8	35375741	35388124	+	-0.986106	1.0389105	1.032889	Sim
Cnot7	8	40492540	40515847	-	6.7537904	6.9626584	6.982181	Sim
Fgl1	8	41191434	41215156	-	1.3278953	1.5791196	0.7456705	Sim
Neil3	8	53586867	53639065	-	4.4137206	3.540058	4.1332984	Sim
2310045N01Rik	8	70139499	70167488	+	4.935531	5.1121025	4.9816356	Sim
Mpv17l2	8	70758649	70760921	-	3.3901234	3.4988647	3.815134	Sim
Arrdc2	8	70835155	70839720	-	0.15498649	1.55922	0.16527352	Sim
Unc13a	8	71624417	71671757	-	1.9864608	2.1992238	2.9843025	Sim
Zfp617	8	71908635	71934629	+	5.4353247	5.1693425	5.0699973	Sim
Pkn1	8	83669762	83699179	-	0.85197556	1.722003	1.5102636	Sim
Phkb	8	85840959	86061376	+	5.3617735	5.0356736	5.114941	Sim
Siah1a	8	86723940	86746006	-	4.234521	3.9606686	4.4805193	Sim
Tmem188	8	88118769	88135110	+	6.108171	6.041602	6.375651	Sim
Slc38a7	8	95835920	95853539	-	3.8268847	4.5820813	4.114388	Sim
Cmtm3	8	104340594	104347672	+	1.1140884	2.7486055	2.7097895	Sim
Ctcf	8	105636568	105682922	+	7.1004124	6.88455	7.1152453	Sim
Vps4a	8	107031222	107045755	+	4.7414417	5.3799663	5.2065563	Sim
Gcsh	8	116981810	116993537	-	8.16833	8.370362	8.373248	Sim
Taf1c	8	119597975	119605222	-	4.5331535	3.9839928	4.5613303	Sim
Afg3l1	8	123477903	123503916	+	5.4394693	5.390703	5.399007	Sim
Alkbh8	9	3335478	3387050	+	5.4953895	5.2234497	5.3923593	Sim
Aasdhppt	9	4294793	4309494	-	6.4902935	6.6382895	6.7117662	Sim
Tmem123	9	7764041	7794333	+	5.0722938	5.0585346	5.0823836	Sim
Yap1	9	7931999	8004596	-	6.2551756	6.511088	6.435741	Sim
Mtmr2	9	13748410	13806481	+	6.8594704	6.789	6.860246	Sim
BC017612	9	15505487	15545260	+	4.5524154	4.577142	4.240214	Sim
Ccdc67	9	15559864	15627933	-	-1.8540022	1.6410141	1.7762108	Sim
Dnmt1	9	20907206	20959888	-	7.2839494	7.042678	7.241684	Sim
Vps26b	9	27004503	27030094	-	7.2881045	6.9300046	7.2478766	Sim
Robo4	9	37401897	37414023	+	-1.6213417	-0.6288523	1.6524086	Sim
Dscaml1	9	45430293	45753164	+	-3.716499	-2.2321935	-6.5558257	Sim
Rnf214	9	45863425	45906894	-	4.720402	4.8479066	4.8886714	Sim
Rbm7	9	48488709	48495330	-	6.3349576	6.1841984	6.3885207	Sim
Acat1	9	53580522	53610382	-	2.849209	4.384214	3.9524643	Sim
Clk3	9	57750711	57765860	-	5.737146	5.7340345	5.892678	Sim
Kif23	9	61917280	61946799	-	6.4636364	6.698316	6.6355805	Sim
Rasl12	9	65398488	65414853	+	1.5485835	-0.0018957199	1.6909149	Sim
Oaz2	9	65668001	65690300	+	6.511008	7.0627804	6.9031897	Sim
Trip4	9	65828930	65908794	-	5.62092	5.620276	5.572652	Sim
Polr2m	9	71478437	71485935	-	9.067987	8.74638	9.086572	Sim
Ooep	9	78376109	78378725	-	2.7324622	2.0273688	2.0431573	Sim
Tfdp2	9	96196275	96323646	+	6.04233	5.9770727	5.8869233	Sim
Rnf7	9	96470941	96478675	-	7.9229655	7.8950567	8.058467	Sim
Poc1a	9	106281061	106349891	+	5.638852	5.558218	4.9810286	Sim
Qrich1	9	108517087	108560167	+	7.204125	6.8672557	7.1423907	Sim
Nme6	9	109832749	109843116	+	6.3774586	6.260738	6.4995413	Sim
AC159748.1	10	5336949	5550692	-	1.15946	1.6065257	-0.8904897	Sim
Vta1	10	14654755	14705560	-	6.6155376	6.474103	6.440427	Sim
H60b	10	22158586	22288849	+	-1.2690399	1.5552069	1.8860811	Sim
Raet1c	10	22173521	22374139	+	3.0480711	2.9712486	3.4696598	Sim
Tspyl4	10	34297421	34301308	+	2.9443076	3.7807534	3.0197136	Sim
Amd2	10	35708691	35711891	-	4.086752	3.3847795	3.764693	Sim
Marcks	10	37133375	37138920	-	8.163014	8.303605	8.504891	Sim
Cd164	10	41519500	41531042	+	8.173765	8.147726	8.216257	Sim
Sec63	10	42761496	42832514	+	5.2773404	4.924959	5.304582	Sim
Ybey	10	76459569	76469114	-	4.735461	4.539042	4.5500827	Sim
Slc19a1	10	77032241	77061002	+	5.365892	5.4177537	5.3116465	Sim
Trappc10	10	78186725	78244642	-	3.0002425	2.7816124	3.1852198	Sim
Cdc34	10	79682195	79688394	+	6.6659284	6.4294477	6.5313053	Sim
ORF61	10	79974948	79984330	-	3.1594598	3.5572147	3.4800045	Sim
Ndufs7	10	80249121	80256794	+	7.3301907	7.3510337	7.3931804	Sim
Dazap1	10	80261486	80288408	+	4.752218	4.780324	4.8882833	Sim
Btbd2	10	80642617	80657071	-	5.3410006	5.2297583	5.4170647	Sim
Izumo4	10	80702693	80705382	+	-3.590968	0.6372225	0.25474593	Sim
AC167202.2	10	81718919	81721468	+	0.7005865	0.6065258	0.4012764	Sim
Tdg	10	82629828	82650799	+	7.345302	7.0085063	7.2834764	Sim
Ccdc53	10	88201097	88246152	+	5.318675	5.8957014	5.3159833	Sim
Tmpo	10	91147571	91171582	-	7.8149714	7.574294	7.8864536	Sim
Cdk17	10	93160876	93241342	+	4.197479	4.493632	4.1291423	Sim
Atp2b1	10	98915152	99026143	+	6.7675915	7.1672077	7.1971297	Sim
Xrcc6bp1	10	126868430	126901371	-	4.189845	3.4227178	4.328154	Sim
Avil	10	127000709	127020994	+	-4.854002	-0.13821724	-4.0322638	Sim
Tmem194	10	127666901	127701049	+	4.448408	4.7184186	4.5234923	Sim
Mip	10	128225838	128231812	+	1.5655366	1.2670393	0.6992029	Sim
Tbrg4	11	6615598	6626067	-	6.276311	5.642433	6.304486	Sim
Ramp3	11	6658521	6677475	+	2.0838127	0.8747218	0.35706374	Sim
Igfbp3	11	7206086	7213923	-	4.116391	4.946567	3.0798924	Sim
Tns3	11	8431652	8664535	-	4.9943075	4.6654196	4.2912316	Sim
Fignl1	11	11787431	11808962	-	6.9414697	6.785364	6.828149	Sim
Pno1	11	17203198	17211568	-	7.560947	7.049291	7.4394336	Sim
Etaa1	11	17938756	17953875	-	5.1963906	5.0450044	5.293775	Sim
Ehbp1	11	22005828	22342292	-	4.0624743	3.981752	3.9272344	Sim
Pus10	11	23665674	23732876	+	5.632632	5.6149845	5.585723	Sim
Papolg	11	23862646	23895253	-	5.5562367	5.622675	5.8688655	Sim
Nudcd2	11	40733667	40740046	+	7.607477	7.47324	7.7335086	Sim
Ccnjl	11	43528784	43586997	+	3.8962023	3.7686734	3.9181335	Sim
Ttc1	11	43729512	43748008	-	6.1125026	6.1178956	5.9953423	Sim
A230051G13Rik	11	59155369	59163739	-	3.0790982	3.1758914	3.7083237	Sim
Stx8	11	67966193	68207148	+	4.650221	4.6070104	4.581005	Sim
Myh10	11	68691559	68816632	+	7.613603	6.917065	7.3667817	Sim
Cyb5d1	11	69391925	69395631	-	3.7746253	4.688961	4.2123585	Sim
Wrap53	11	69561758	69580255	-	5.7806273	5.7137003	5.6095524	Sim
Eif5a	11	69916714	69921958	-	11.449353	11.025886	11.499938	Sim
Pafah1b1	11	74673949	74724670	-	7.2448854	7.165481	7.1714034	Sim
Mettl16	11	74770830	74828525	+	7.42282	6.6440873	7.29419	Sim
Blmh	11	76924809	76987379	+	8.618536	8.431946	8.637488	Sim
Supt6h	11	78206746	78245987	-	6.227348	6.383224	6.3386607	Sim
Pex12	11	83294642	83302586	-	4.01204	4.114491	4.040131	Sim
Med13	11	86267033	86357602	-	5.7511067	5.5123816	5.975434	Sim
Mrps23	11	88204388	88211507	+	6.185054	5.9134445	5.8253794	Sim
Ube2z	11	96047432	96065388	-	5.1476874	5.2190175	5.3899837	Sim
Nfe2l1	11	96817414	96829968	-	5.2618217	5.5589695	5.539242	Sim
Socs7	11	97362551	97398542	+	3.1163914	3.7798939	3.7318866	Sim
Top2a	11	98992943	99024189	-	9.620351	9.378725	9.598374	Sim
Plekhh3	11	101162679	101171351	-	-0.50350505	-0.12527815	-0.059970625	Sim
Becn1	11	101285952	101302286	-	6.814173	6.795287	6.7397285	Sim
Fam171a2	11	102436981	102447682	-	0.10947186	-0.3627775	0.5289827	Sim
Plekhm1	11	103365088	103412664	-	3.4525154	3.4532294	3.1319873	Sim
Cdc42ep4	11	113726850	113751881	-	5.1966624	5.739571	5.932328	Sim
Prpsap1	11	116470845	116494202	-	7.906385	7.5056386	7.7562065	Sim
Dnahc17	11	118021723	118129219	-	2.6201093	2.5948439	2.3954592	Sim
Mrpl12	11	120484613	120489065	+	8.239976	7.594416	8.1459675	Sim
0610009D07Rik	12	4817608	4827658	+	7.761259	7.57949	7.5534954	Sim
Sdc1	12	8771323	8793715	+	6.639653	5.7424417	6.5149245	Sim
Sox11	12	27340697	27342709	-	2.8616166	1.5226941	2.6493568	Sim
Mbip	12	56328306	56345894	-	5.0814576	4.703085	4.9155955	Sim
Ppm1a	12	72761211	72794940	+	4.9523864	4.9542065	5.0173483	Sim
Zfyve26	12	79232347	79296282	-	3.587282	3.8338957	3.5546577	Sim
