gene	chr	starts	ends	ecto	endo	meso
Tdrd7	4	45965334	46034761	-0.3393366	-2.9600508	-3.0956173
Zfp462	4	54945048	55083563	2.613381	-0.17856231	0.4779665
Frmd3	4	74013442	74202214	-0.3612087	-5.227864	-8.901178
D4Bwg0951e	4	80910646	80955628	0.9463899	-1.6248037	-1.6882092
Sh3gl2	4	85205126	85639195	0.3976668	-8.2984295	-3.2310257
Lrrc19	4	94650144	94636653	-0.034917686	-7.096663	-7.810619
L1td1	4	98726734	98738480	5.590402	2.6320024	2.4424186
Pde4b	4	102087543	102607259	0.46701592	-2.29609	-1.8874269
Pcsk9	4	106464329	106442329	2.0564816	0.106856026	-0.64498
Pou3f1	4	124657646	124660655	2.4116359	-2.380618	-1.5685055
Tmem54	4	129105548	129111626	3.9701974	1.6683623	0.58501124
Fabp3	4	130308595	130315463	4.4568377	2.2557156	1.8902586
Fbxo44	4	148160482	148152800	3.5697074	0.5079898	1.0424509
Rbp7	4	149454978	149449687	0.4476015	-5.10877	-2.5747983
Acot7	4	152178134	152271855	4.506042	2.6333234	1.8663937
Hes3	4	152291662	152285972	-0.21418528	-6.457769	-8.323729
Trp73	4	154140208	154056253	0.23891139	-8.055037	-4.961638
Hes5	4	154960923	154962371	1.1871231	-5.8814964	-7.899459
Pion	5	21186267	21291701	1.4812566	-7.4916797	-5.7462044
Actr3b	5	25759997	25850342	3.4965515	1.598263	1.2895826
Fam59b	5	30105161	30118378	0.14497434	-7.5371823	-6.9292107
Crmp1	5	37242080	37292132	4.667552	2.332704	3.3490865
Otop1	5	38275972	38304209	0.11256486	-7.282262	-5.2957788
Ldb2	5	44799707	44472133	4.345047	2.4736304	1.2158068
Uchl1	5	66676098	66687231	4.2695684	2.850142	-0.29961044
Gabra4	5	71658308	71569734	2.596949	-0.8345492	0.33687386
Rassf6	5	90640487	90603076	-0.15444611	-6.556095	-5.100126
G3bp2	5	92083735	92052146	7.062138	6.269704	6.3116946
Spp1	5	104435118	104441050	2.3464375	-4.5704646	-2.773459
Lhx5	5	120431770	120441455	1.393036	-5.36071	-1.8927686
Dtx1	5	120711927	120680202	2.5787125	-0.86155355	-4.6150384
Glt1d1	5	127632262	127708754	1.5180119	-1.3904794	-1.1073472
Gsx1	5	147188696	147190947	-0.2715728	-6.412906	-8.278866
Dlx6	6	6863334	6868568	0.3148201	-4.682638	-3.641707
Dlx5	6	6882085	6877805	1.3854334	-6.0956497	-7.961609
Ica1	6	8778488	8630527	0.9576413	-1.4596145	-1.4130366
Ptn	6	36811361	36715663	2.360811	-0.3836909	0.1801157
Rab19	6	39381175	39390380	1.6165377	-2.7681346	-2.5637045
Mkrn1	6	39420462	39397804	5.3974276	4.2368283	3.702014
Zfp467	6	48445825	48427697	1.3399297	-1.201942	-2.6349418
Stk31	6	49395604	49469501	0.8822049	-2.1751719	-1.3954147
Snca	6	60829855	60731573	1.9580445	-6.135644	-0.8954037
Foxi3	6	70956531	70961066	4.0673656	-5.9439845	-1.8250505
Srgap3	6	112947266	112717971	0.14304948	-3.2756958	-4.986377
Prrt3	6	113501818	113494095	1.0597681	-2.3009436	-1.5250379
Cxcl12	6	117168535	117181367	3.7294803	-3.0066743	-1.4740843
Lrtm2	6	119330766	119315133	0.20297153	-7.6230416	-7.336998
Phc1	6	122340561	122317731	5.0627055	3.6978176	2.2639005
Gdf3	6	122610087	122605403	1.2235531	-6.522174	-2.410853
Tpi1	6	124814296	124810586	9.419718	8.85916	8.763589
Ldhb	6	142507957	142490249	8.133652	7.3891177	7.4061513
Bhlhe41	6	145865558	145858243	2.342012	-2.7594063	-0.78994673
A430110N23Rik	7	4925844	4944821	-0.404614	-2.9487069	-8.399629
Zfp296	7	19577287	19580656	1.6829358	-1.5888108	-3.1593144
Atp1a3	7	25005957	24978167	0.014611527	-2.3404996	-2.7089593
Siglec5	7	43351341	43359531	-0.27950868	-7.066979	-2.7809353
Nav2	7	49246189	49610087	1.7546693	-0.20731315	-0.6586092
Slc17a6	7	51621830	51671125	-0.33368507	-7.697411	-5.4113674
Gabrb3	7	57590518	57828802	1.941033	-1.1991715	0.15858196
Apba2	7	64501706	64753870	2.261148	-2.3858654	-0.6863848
Cpeb1	7	81455465	81347026	-0.33676833	-4.50235	-6.368309
Mtap6	7	99267447	99337137	0.27133507	-2.2561035	-2.2413619
Cyb5r2	7	107758032	107748455	-0.19903772	-5.320676	-8.9236
Zp2	7	120145290	120132361	0.7471722	-6.7242174	-8.590177
Coro1a	7	126707787	126699773	3.0733867	0.6278071	0.5287507
Fam57b	7	126816885	126830219	1.8343452	-0.6933784	-0.74923736
Ppapdc1a	7	129257094	129391307	2.6019602	-1.0969579	-2.7784925
Foxi2	7	135410367	135413615	0.45159736	-6.960223	-8.826182
Bnip3	7	138909519	138890836	6.862381	6.012856	5.9068265
Utf1	7	139943789	139945112	6.9516716	2.2869623	-0.51898974
Cend1	7	141429491	141426446	2.9209733	0.077320196	-0.3937795
Fam70b	8	13435459	13461452	0.31897262	-2.9189594	-7.744277
Defb1	8	21776599	21795185	1.7643944	-5.389114	-7.255073
Dkk4	8	22624043	22627536	-0.41328666	-5.969658	-5.3616858
Lpl	8	68880491	68907448	2.7859457	0.17701282	0.85945314
Ncan	8	70120873	70093085	0.3961026	-3.3748147	-2.044377
Syce2	8	84872111	84888221	5.987664	4.970102	4.9866023
Vat1l	8	114205612	114374071	1.8193583	-4.4247084	-0.4903561
Tubb3	8	123411424	123422015	3.7525253	2.0257385	1.5291545
Olfm2	9	20728219	20667986	-0.37677023	-6.2002454	-6.3292394
Rgl3	9	21989453	21971527	1.3821754	-1.2002455	-2.1120086
Elavl3	9	22052023	22015005	2.3789105	-3.9570534	-2.5859735
Cnn1	9	22099281	22109630	1.6872662	-1.8710248	-0.5164332
Thy1	9	44043384	44048579	1.6117507	-3.9077182	-2.008143
Htr3a	9	48911099	48899214	1.6674801	-6.644684	-8.510643
Usp28	9	48985385	49042517	3.9314263	2.4838135	2.2192082
Slc35f2	9	53771535	53818161	4.983167	2.7820728	1.8315392
Acsbg1	9	54661870	54604877	1.4577936	-4.962382	-2.5209126
Rpp25	9	57504102	57505447	2.2545257	-3.2784264	0.25364512
Rbpms2	9	65629648	65660528	6.7908597	5.1879616	5.519361
Prr23a	9	98842587	98843645	-0.45652962	-5.6694164	-7.5353756
Mapkapk3	9	107289877	107254927	2.1921468	0.35697737	0.31505942
P4htm	9	108597600	108578826	1.3499657	-0.898383	-3.6330976
Osbpl10	9	115067279	115232223	-0.003785054	-3.7543287	-3.6816885
Plcd1	9	119093496	119071527	1.9032725	-0.44893014	0.06428277
Akap12	10	4266329	4359468	3.7183392	0.22202659	2.1433272
Slc35d3	10	19851459	19847917	2.1963258	-3.5072968	-1.1794845
Myb	10	21160984	21124930	1.5879782	-1.3018166	-2.7892644
Slc35f1	10	52690533	53111622	0.953388	-1.5897667	-1.6281931
Tmem26	10	68723746	68782654	0.876864	-7.9235687	-3.21126
Gstt2	10	75834881	75831845	3.8429008	2.339932	1.80166
Mif	10	75860250	75859353	11.345652	10.896606	11.009859
Col18a1	10	77166548	77052178	4.0159616	1.8210471	1.9984628
C330046G03Rik	10	77829467	77887021	-0.11439783	-6.987798	-4.7948637
Atcay	10	81230833	81204508	0.41937453	-7.585271	-9.299227
Dcn	10	97479500	97518162	0.9011029	-6.494066	-8.360025
Ptges3	10	128058954	128077272	9.214075	8.779857	8.821965
Gpr75	11	30885358	30893729	-0.28200653	-4.6617126	-5.6796746
Stc2	11	31370074	31357307	0.20329528	-2.3144166	-2.5637045
Pld6	11	59787645	59783897	3.1380863	1.092025	0.4097777
Tnfrsf13b	11	61126755	61149372	-0.4568413	-7.0905714	-3.8045275
Eno3	11	70657202	70662513	4.2816944	2.786622	2.8538132
Wscd1	11	71749920	71789647	0.65947115	-1.5346793	-9.552642
Rtn4rl1	11	75193783	75267769	0.82206005	-7.4043374	-5.7963657
Scarf1	11	75513540	75526582	-0.102706976	-7.116285	-2.6014225
Pipox	11	77894096	77880615	2.7490087	0.17964141	-0.7913999
Tmem100	11	90030348	90036508	3.013905	0.6628503	1.2067028
Mpp3	11	102028461	101999652	-0.3735048	-4.4951425	-6.723672
Kcnh6	11	106008124	106034549	-0.30160657	-3.2621233	-3.8426807
Galr2	11	116280939	116283938	-0.06974506	-6.883024	-8.748983
Slc16a3	11	120948480	120960868	6.8622446	4.8283772	5.4458323
Dnmt3a	12	3806007	3914443	4.1654854	2.086905	2.7589982
Id2	12	25096092	25093801	7.2466946	5.543515	5.0775223
Dhrs7	12	72664828	72650356	4.1263	2.6491926	2.5255022
Rps6kl1	12	85151264	85135596	1.66297	-2.3166957	-0.7472689
Batf	12	85686669	85709087	-0.17413314	-4.3682833	-3.2342427
Rapgef5	12	117516479	117756978	3.1691937	-0.14461222	-2.4133308
Sp8	12	118846329	118852578	4.844333	3.3332665	3.1873314
Idi1	13	8885501	8892451	5.182799	3.7151523	3.5927374
Aoah	13	20794119	21024252	-0.03862909	-5.978206	-2.694419
Nhlrc1	13	47014850	47012558	-0.28367367	-6.783951	-3.743019
Id4	13	48261427	48264036	0.8111581	-3.165894	-2.90257
Cxcl14	13	56296551	56288647	-0.32808927	-4.3010254	-6.582022
Ssbp2	13	91460283	91703429	2.0759885	0.20533477	0.34481615
Ndrg2	14	51913488	51905271	3.6810265	1.9561088	1.7788924
Sall2	14	52328762	52311172	2.842789	0.9212016	0.36610526
Jph4	14	55116935	55106830	0.30205122	-6.2154408	-5.557838
Tdh	14	63509092	63492347	4.8062754	-1.9635407	-0.09876637
Tnfsf11	14	78308043	78277445	-0.40148073	-3.788276	-5.876628
Slitrk5	14	111675115	111683134	1.3269966	-2.2076945	-1.1101795
Abcc4	14	118706219	118482692	1.1117625	-3.783069	-2.249098
Slc1a3	15	8710764	8634124	3.0724366	1.3091879	0.5495807
Cdh9	15	16778101	16857094	0.24275196	-5.1213236	-8.987283
Mal2	15	54571366	54602846	2.1575582	0.10402857	-8.92516
Enpp2	15	54920146	54838898	2.8202622	0.3236957	-0.18695943
Ly6e	15	74955051	74959905	4.954706	3.8070076	3.818433
Naprt1	15	75894481	75890964	2.9401174	1.3611485	-0.23606269
Cbx7	15	79971119	79915807	3.15226	1.3991191	-1.9054644
Pmm1	15	81960930	81951108	4.385083	2.6060092	2.804223
AC105358.1	15	82212815	82206952	-0.063745424	-6.4379134	-3.759552
Bik	15	83526862	83544635	1.1995906	-0.89060897000000006	-1.60129
Mapk12	15	89140703	89130585	3.7785702	2.2022552	0.034372643
Mapk8ip2	15	89453913	89464468	2.3704681	-3.9456728	-0.889791
Abcd2	15	91191807	91145884	0.03837013	-6.901207	-3.0392466
Lrrk2	15	91673175	91816120	0.25346738	-3.092686	-3.4309077
Nell2	15	95528706	95219451	1.1419635	-1.8028272	-4.537542
Ifitm7	16	13986855	13981702	1.7431489	-1.1066306	-1.1784505
Gap43	16	42340651	42248442	3.7262452	-0.79369926	1.8372478
Cd200	16	45409053	45382135	-0.37781698	-7.3183317	-3.5728564
Dact2	17	14203831	14195231	1.403215	-0.65746725	-0.62028813
Syngr3	17	24689955	24685092	1.9865133	-6.6370416	-0.88339204
Lhfpl5	17	28575718	28583593	-0.4381879	-5.906332	-7.620288
Abcg1	17	31057698	31115777	2.9437528	1.2490382	-0.70222855
AU023871	17	35066184	35062693	-0.11531066	-2.5169592	-2.6948624
H2-Q6	17	35424850	35430055	1.0768155	-1.0353266	-2.4065213
Pou5f1	17	35506037	35510776	8.713376	7.614468	7.6227927
Fsd1	17	55986511	55996881	4.307141	3.0449862	1.729675
Tubb4a	17	57087782	57080066	5.739827	4.3498535	4.709116
Tnfsf9	17	57105385	57107757	3.865839	1.9531314	1.9762108
Calm2	17	87446935	87433412	10.174665	9.783136	9.434111
Ankrd29	18	12305720	12252362	-0.3524935	-7.3069925	-5.320509
Klhl14	18	21654718	21550377	0.50357914	-4.2584605	-9.598351
Syt4	18	31447415	31437808	0.1118549	-7.5505576	-3.8050823
Wnt8a	18	34542313	34548273	3.8475866	2.1621149	2.399102
Jakmip2	18	43687773	43531408	2.5829024	0.623772	-0.35766456
St8sia3	18	64254359	64276146	1.9783992	-0.089166716	-0.14245726
Grp	18	65872820	65886578	1.0878236	-5.6680536	-7.534013
Tbc1d10c	19	4191047	4184358	0.2674325	-6.4006486	-2.6551735
1700019N12Rik	19	6925380	6922426	0.43230435	-2.4931426	-2.6221364
Gng3	19	8839246	8836929	5.7854695	3.533619	3.7407908
Cd6	19	10830058	10789341	-0.23313366	-7.3539453	-4.897976
Tfe3	66	7762560	7775202	3.0168357	1.0955882	1.1477119
Pim2	66	7878262	7883432	8.625049	4.526938	3.466484
Glod5	66	8018492	8004200	2.6154377	-0.1629495	-2.0854924
Xk	66	9272756	9313250	0.30556443	-2.1059775	-2.9028952
Ndp	66	16911774	16885521	-0.4088669	-6.5420265	-8.407987
Mtap7d3	66	56822326	56797858	4.7154746	2.0726395	1.4623821
Mcf2	66	60179089	60055956	2.6784148	-4.435352	-6.011804
Sox3	66	60893430	60891370	0.8085412	-4.8930926	-8.344015
Gabra3	66	72656848	72432681	2.4292724	-0.58685684	0.36000004
Pdzd4	66	73824969	73793359	4.62755	2.087903	1.3431861
Nr0b1	66	86191764	86195947	1.3489635	-6.4411087	-2.3737051
Slc7a3	66	101086020	101079210	6.2754226	0.989673	1.6146787
Nap1l2	66	103186640	103184176	1.7598412	-2.1513357	-0.6953671
Lpar4	66	106920625	106933900	5.1318665	3.5194526	3.3024466
Tmem35	66	134295225	134305969	1.4443277	-2.467423	-4.070348
Rragb	66	153139981	153171943	3.2186	1.6710145	1.649698
Ptchd1	66	155623814	155573455	0.53031635	-2.852151	-7.3030725
