gene	chr	starts	ends	ecto	endo	meso
Tnfrsf18	4	156026164	156028895	-2.7659612	-4.0425735	0.35825345
Sod3	5	52363946	52371405	-8.900913	-4.46328	-0.79674417
Pdgfra	5	75152291	75198204	-1.8837326	-4.016892	3.6854215
Kdr	5	75978458	75932827	-1.8517153	-3.298253	2.5375276
Mn1	5	111417362	111457033	0.57400846	-0.20727861	3.4650855
Myl2	5	122100951	122113472	-4.069105	-3.2282598	1.0956054
Tmem132c	5	127241808	127565793	-2.3846066	-1.8956846	1.0956055
Lfng	5	140607341	140615543	0.19592334	-1.4957266	3.148372
Rasl11a	5	146845071	146847726	4.897018	1.175442	5.9325995
Peg10	6	4747306	4760517	1.0241688	3.4272344	4.7769747
Wnt2	6	18030585	17988940	-3.562551	-3.6078384	4.65822
Pax4	6	28449353	28442334	-8.032157	-6.5538826	-0.34897548
Cpa2	6	30541582	30564476	-0.6306733	-1.5946206	3.1089456
Cpa1	6	30639218	30645363	-7.872344	-5.2420654	-0.4859732
Mest	6	30723547	30748455	4.916596	5.8100595	6.975631
Adcyap1r1	6	55451978	55501451	-2.90775	-3.2994142	1.1577976
St3gal5	6	72097613	72154570	1.048076	-0.44091213	3.315368
Usp18	6	121245906	121270916	-4.1517725	-3.673498	1.33706
Tnfrsf1a	6	125349362	125362484	1.9156289	1.7954065	3.6640003
Ccnd2	6	127151048	127125779	5.0991774	4.74952	6.1244073
Slco1c1	6	141524386	141570177	-6.996142	-7.2548327	-0.5850849
Ceacam10	7	24777204	24784649	-0.19236521	-5.6474533	1.9895298
Dll3	7	28302238	28293553	2.1544251	4.7254257	6.5522633
Etv2	7	30635852	30633616	1.2433772	-1.1804215	3.8677053
Kctd15	7	34655509	34639014	1.62143	-1.2874184	3.2226453
Mesp1	7	79793788	79792241	2.5244195	0.2591861	7.9051886
Mesp2	7	79810727	79813431	-4.8660645	-6.539793	3.9944751
Lmo1	7	109170308	109138572	-2.153963	0.11018697	2.1796873
Htra1	7	130936111	130985660	-1.1439328	0.2491748	2.43115
Ifitm1	7	140967221	140969825	4.847666	8.754431	9.249335
Sct	7	141279133	141278331	-1.9204345	-1.5296224	2.3659697
Slc22a18	7	143473721	143499334	-2.1701539	-0.2381609	2.146216
Phlda2	7	143502541	143501545	5.854425	4.8738146	10.654834
Fgf3	7	144838083	144844436	-0.40291643	1.1353407	5.7199583
Fgf15	7	144896532	144900953	2.5229926	0.80812883	5.5636334
Gpr124	8	27085583	27123436	-4.016542	-6.379569	0.91434276
Adrb3	8	27229588	27225776	-2.3162692	0.043950275	3.4194288
Dlc1	8	36953143	36567751	-0.9399542	-0.5436818	2.473114
Vegfc	8	54077532	54186454	-7.9764886	-6.498214	-0.63474107
Hand2	8	57320983	57324517	-8.225264	-6.746989	0.3560387
Abcc12	8	86580686	86482260	-2.8010669	-3.7759647	0.05587106
Cdh11	8	102785111	102632995	-0.46138358	-0.018732624	3.5125787
Cdyl2	8	116732991	116568724	-3.4367373	-8.450315	-0.17672335
Foxf1a	8	121084474	121086879	-7.1517725	-3.9365323	2.4951892
Foxc2	8	121116171	121118892	-2.9653351	-4.55745	3.7921238
Fli1	9	32541389	32422208	-7.548972	-7.2227	-0.761731
Robo3	9	37433163	37415669	-9.823079	-8.344804	-0.28397298
Crabp1	9	54764748	54773110	3.6591876	2.3593485	7.1956983
Aph1c	9	66834726	66814994	-2.5649636	-4.3551774	0.3989165
Prtg	9	72807274	72917291	5.2592716	5.4249315	6.897534
Klhl31	9	77636732	77660118	-7.557534	-5.757331	-0.45537063
Ripply2	9	87015537	87019916	-1.2748888	-2.118542	4.5445385
Chst2	9	95407270	95400929	-0.8818753	-3.6837082	2.4623585
Pcbp4	9	106453838	106464007	6.6478915	6.6115937	7.3471594
6230427J02Rik	9	107985879	107984227	-0.18638916	-0.11528952	5.078977
Tdgf1	9	110946158	110939610	5.3087897	6.4203196	7.18378
Rspo3	10	29535867	29453109	2.4312172	3.1976497	5.492305
Sult3a1	10	33863935	33879475	-7.1312504	-5.6529756	-0.24799062
Nepn	10	52388972	52404607	-3.8117518	-6.572943	0.030513579
Fgf22	10	79755119	79756961	-4.29593	-4.5546203	-0.6836141
Hcfc2	10	82696160	82742428	-3.101691	-2.7202775	0.48820204
Alx1	10	103029051	103007847	-1.2955449	-2.5334768	4.1004095
Gm239	10	116896879	116776545	-3.2663527	-2.3185923	2.2367342
Hmga2	10	120476469	120361275	4.491868	5.119724	6.4005556
Myl7	11	5898782	5896637	4.2189145	4.0979915	8.289522
Rel	11	23770970	23741514	-2.00558	-6.9196224	0.97763073
Sep-08	11	53519257	53549565	0.7149025	1.126976	3.2790935
Pdlim4	11	54069014	54054928	1.976423	0.6848788	4.1152945
Hand1	11	57832818	57828705	1.0199171	-5.432545	4.572053
Mfap4	11	61485431	61488900	1.7591158	0.89880514	3.4010284
Pmp22	11	63128982	63159547	0.8031845	1.8537369	5.7785153
Gp1ba	11	70639122	70642036	-4.2680683	-7.029259	-0.28788835
Col1a1	11	94936224	94953042	-4.6273413	-8.301069	-0.77423435
Hoxb6	11	96292476	96301569	-6.3818297	-6.6405206	-0.6609896
Hoxb2	11	96351632	96355689	-1.1294048	-7.3109274	3.7028239
Hoxb1	11	96365752	96368256	2.5918906	2.9829164	6.0927367
Igfbp4	11	99041244	99054392	2.0780585	1.8509092	4.1314197
Tns4	11	99089306	99065678	-1.2108501	-2.1893277	1.8392832
Arl4d	11	101665541	101667832	0.6202566	1.238083	4.7751207
Pecam1	11	106750628	106654217	-6.7000837	-7.69574	-0.4496944
Abca9	11	110168196	110100749	-10.07362	-8.443341	-0.2772548
Grin2c	11	115267243	115249169	-8.245551	-7.919279	0.68869317
Adcy3	12	4133103	4213525	0.62523395	0.52598304	3.004217
Osr1	12	9574442	9581499	-3.527864	-6.5939097	1.0649993
Msgn1	12	11208948	11208382	-6.24641	-4.7681346	4.802155
Twist1	12	33957671	33959817	-2.435488	-5.127138	1.9017203
Foxf2	13	31625816	31631403	-8.305609	-6.8273335	-0.50786674
Foxc1	13	31806646	31810635	-5.9093747	-3.2611747	1.1541523
Serpinb9	13	33003250	33017957	-5.3959374	-7.3915935	0.32907844
Rbm24	13	46418300	46431090	-1.179952	0.52432674	2.8262873
Cap2	13	46501848	46649642	0.65187836	0.2595019	2.7367024
Msx2	13	53473074	53466881	1.6267538	1.1997159	3.942905
Tgfbi	13	56609603	56639339	-3.2048585	-7.0078697	1.1158018
Gas1	13	60177365	60174405	3.6382482	3.0118294	5.746056
Hapln1	13	89540636	89611832	-3.1846075	-7.9244246	0.8664379
Vcan	13	89742509	89655312	-0.035861965	-0.5075463	2.5189958
Fam159b	13	104863893	104845283	-3.2150898	-5.9762807	0.29844788
Fgf10	13	118669791	118792115	-5.307578	-4.0516953000000004	1.7080538
Wnt5a	14	28504750	28527447	0.94919944	-1.0272088	3.5327933
Gdf10	14	33923587	33935280	-4.238948	-6.9126763	-0.2172411
Bmp4	14	46390669	46383520	-0.071789145	0.098632924	3.82317
Gata4	14	63271692	63198922	-3.520387	1.1815367	3.98719
Pdlim2	14	70177681	70164218	1.6630516	-0.89970064	4.2902484
Gfra2	14	70890130	70979838	-1.4008107	-1.498396	1.3537736
Lect1	14	79662170	79637690	-6.795042	-3.9948387	2.1988168
Pcdh8	14	79771312	79766772	-0.34421173	-4.1138644	3.2778
Pcdh17	14	84443563	84537060	-4.1622796	-7.099042	-0.28904414
Laptm4b	15	34238026	34284295	4.937052	7.8423147	8.284209
Klf10	15	38300707	38294413	2.2127392	1.4059302	3.791809
Foxh1	15	76669948	76668284	6.6803017	6.6285086	7.876656
Csf2rb2	15	78305603	78282517	-9.270382	-7.7921066	-0.5460606
Slc38a4	15	97055956	96994823	3.2129557	3.4706883	5.051928
Klhl6	16	19983037	19946499	-3.4368417	0.38312456	3.8982224
Phldb2	16	45953598	45746243	1.759712	2.9022286	4.429035
Robo1	16	72663149	73046095	2.0484045	1.5456873	3.5551584
Ifnar2	16	91372783	91405589	1.1463412	0.77271485	3.1322863
Igsf5	16	96361668	96525580	-3.251504	-4.095157	0.9797216
Pcp4	16	96467606	96525793	0.28320694	-0.98575217	3.9766517
Dll1	17	15376872	15367354	-1.5975696	1.3740846	4.4668403
Rnf39	17	36942918	36947986	-7.9089723	-6.4306974	0.35519192
Zfp57	17	37001163	37010635	1.4983765	1.9755317	3.8624673
Rftn1	17	50190674	49992257	-1.845788	-1.5184548	1.8494875
Rasgrp3	17	75435905	75529043	0.27991575	3.4262087	5.2517858
Zeb1	18	5591860	5775467	-6.7915506	-5.6027822	0.45012158
Gfra3	18	34720387	34689903	-2.0245602	0.70035464	4.374883
Ppic	18	53418007	53406341	4.2338986	4.2536073	6.341713
Prdm6	18	53464546	53575907	-3.9229872	-7.120277	2.1950538
Fbn2	18	58209926	58008623	-3.163001	-1.239315	1.1469969
Pdgfrb	18	61045150	61085061	-3.781673	-2.8883603	0.60981524
Apcdd1	18	62922327	62953195	-1.5905423	-1.7496973	0.9131231
Stard6	18	70472454	70501066	-1.9135532	-1.9736984	0.9228433
Zadh2	18	84088158	84097514	-0.86324394	-1.2121323	2.018921
Peli3	19	4943127	4930651	-1.4673381	-1.4246478	2.591234
Ahnak	19	8989284	9076919	-4.540826	-2.7771487	0.37982875
Pcsk5	19	17837632	17432832	-3.0712454	-2.7521691	1.7452761
Acta2	19	34255336	34241090	-3.4237454	-6.4194016	0.43649808
Ch25h	19	34475135	34473786	-7.497948	-6.0196733	-0.5940782
Tll2	19	41206774	41083981	-6.374724	-2.8964489	0.47216973
Wnt8b	19	44493472	44514273	-7.6683006	-7.3420286	-0.92670196
Chst7	66	20059560	20097521	1.4314107	2.718477	4.888674
Sowahd	66	37048845	37050418	-6.5674214	-6.2411494	1.5546694
Rhox10	66	38066475	38071691	-6.6747437	-5.196469	-0.015607271
Dusp9	66	73639419	73643514	1.6962731	3.702764	5.5057015
Pcdh19	66	133688993	133582863	-2.7218482	-2.2746003	3.327046
Ripply1	66	139782353	139779549	-0.6334797	-5.2844877	1.9902408
Morc4	66	139871677	139821632	-0.8062559	-2.639567	2.493937
Spin2	66	153832225	153834243	2.6056252	3.8981767	5.523637
