gene	chr	start	end	strand	ecto	endo	meso	set
Lysmd1	3	95134088	95139518	+	1.51057	2.7747262	1.6302886	DifEn
Txnip	3	96557957	96561883	+	4.6863194	6.4317756	4.136572	DifEn
Cd2	3	101275899	101287939	-	-1.4210428	1.1441826	-0.059970625	DifEn
Casq2	3	102086415	102146514	+	-4.854002	0.20691821	-3.307898	DifEn
Tshb	3	102777398	102782714	-	-7.327934	0.7952873	-1.1549461	DifEn
Slc16a1	3	104638668	104658462	+	7.446179	10.797611	7.9888973	DifEn
Mov10	3	104794836	104818563	-	3.3815331	5.463704	2.1575608	DifEn
1700027A23Rik	3	105996957	106014646	-	0.81842303	7.9674788	-0.19827369	DifEn
Chia	3	106113229	106132120	+	-1.783613	0.5909288	-6.5558257	DifEn
Larp7	3	127536954	127553348	-	8.016517	9.232431	7.80485	DifEn
Cfi	3	129836739	129875328	+	-2.5320742	2.387039	-3.6016293	DifEn
Casp6	3	129901425	129914103	+	4.748511	5.952682	4.802276	DifEn
Sgms2	3	131318985	131344940	-	-0.4077461	3.187605	-0.83472645	DifEn
Slc39a8	3	135825279	135888572	+	2.1816213	7.398773	4.5948734	DifEn
Mttp	3	138089855	138143388	-	1.386312	5.9237924	2.1532583	DifEn
AI747448	3	144910921	144932529	-	-7.1759305	0.19664985	-4.748471	DifEn
Odf2l	3	145118589	145153915	+	3.6569595	5.4844284	4.0512733	DifEn
Cyr61	3	145646971	145649985	-	3.3535001	5.680696	3.6302886	DifEn
Wdr63	3	146040526	146108130	-	-6.1759305	4.195361	-4.096394	DifEn
Lpar3	3	146220961	146286214	+	-0.90914387	4.4396877	2.2434561	DifEn
Gipc2	3	152093533	152166230	-	-0.3055657	4.0966544	-2.4473011	DifEn
Tmem67	4	12039355	12090020	-	3.3139176	5.370577	3.1746442	DifEn
Ripk2	4	16122733	16163647	-	3.6569595	5.339997	3.821927	DifEn
Klhl32	4	24612554	24851124	-	1.1903919	5.5617223	1.8995016	DifEn
1700003M02Rik	4	34688559	34730206	-	-3.590968	6.8636093	-0.6549588	DifEn
Chmp5	4	40948407	40965303	+	6.7299266	7.524876	6.9519687	DifEn
Dnaic1	4	41569775	41638158	+	0.6632734	4.5092735	-4.3859005	DifEn
Arid3c	4	41723836	41731142	-	0.16391958	2.2694907	-0.11288214	DifEn
Spag8	4	43651335	43653594	-	-2.221734	5.54386	-0.7040765	DifEn
Tmem8b	4	43668971	43692668	+	-0.31794947	1.729145	0.4041763	DifEn
Shb	4	45423278	45532470	-	1.2875938	4.142846	1.9259739	DifEn
E230008N13Rik	4	45890303	45950774	+	-5.1759305	4.3937964	-5.9708633	DifEn
Lpar1	4	58435255	58553898	-	4.639453	6.9580116	4.9009137	DifEn
Ptgr1	4	58965439	58987119	-	3.272186	5.1141496	3.8638713	DifEn
Slc31a2	4	62262562	62298411	+	0.7898539	4.862189	2.9633193	DifEn
Ambp	4	63143275	63154799	-	-7.327934	2.6746972	-2.5558255	DifEn
Kif12	4	63165634	63172131	-	-2.2690399	2.1706545	-5.096394	DifEn
Orm3	4	63356162	63359511	+	-7.327934	-2.0257425	-4.970863	DifEn
Cer1	4	82881751	82885148	-	1.299803	10.240361	6.3362427	DifEn
Frem1	4	82897920	83052339	-	3.55199	5.421616	3.3465495	DifEn
Ift74	4	94614491	94693229	+	5.937649	7.5960045	6.026787	DifEn
Ube2u	4	100478849	100550147	+	-0.26903987	3.3318095	-3.4265428	DifEn
Tctex1d1	4	102986379	103005594	+	-0.36857554	6.3836484	3.1103985	DifEn
Wdr78	4	103038065	103114555	-	1.2034479	5.0803404	1.8641346	DifEn
Dmrtb1	4	107676290	107684230	-	-7.327934	1.5019952	-2.8009381	DifEn
Txndc12	4	108834601	108862127	+	5.4003177000000004	6.6733093	5.5516367	DifEn
Spata6	4	111719984	111829184	+	4.077917	6.0666623	4.5415483	DifEn
Slc5a9	4	111875375	111902918	-	-7.327934	3.396042	-8.7078285	DifEn
Pdzk1ip1	4	115088708	115093899	+	-1.4210428	3.4564605	-1.2984378	DifEn
4930544O15Rik	4	115779834	115781018	-	-4.5909677	-1.44078	-6.9708633	DifEn
Dmbx1	4	115914544	115939926	-	-0.986106	1.3009865	-0.40100747	DifEn
Tspan1	4	116161869	116167601	-	-7.1759305	2.2596595	-6.9708633	DifEn
Tmem53	4	117251951	117268582	+	0.5314287	2.8105183	-0.67318255	DifEn
Ccdc24	4	117866524	117872557	-	0.13695249	3.098034	0.3866889	DifEn
Dnali1	4	125055338	125065703	-	-1.8540022	4.375706	-1.98597	DifEn
Oscp1	4	126058565	126092195	+	2.739949	6.3455259999999996	3.2040625	DifEn
1700029G01Rik	4	126150602	126163491	-	-0.24519311	1.3247547	-1.6610078	DifEn
Tekt2	4	126322121	126325688	-	0.24192207	6.9500103	-1.1721213	DifEn
Tinagl1	4	130164454	130175122	-	-2.590968	2.9936628	-1.4577936	DifEn
Fam76a	4	132899213	132922558	-	3.9253888	5.930779	4.2073865	DifEn
Sytl1	4	133253090	133263113	-	-0.50350505	2.6912484	-1.0559797	DifEn
Nipal3	4	135445420	135495038	-	1.1549865	3.7695394	0.014030009	DifEn
4930555I21Rik	4	135494790	135537803	+	-7.327934	0.72557837	-6.5558257	DifEn
Ldlrad2	4	137572083	137574569	-	-5.5909677	-1.8882389	-3.3463724	DifEn
Vwa5b1	4	138565360	138635884	-	-4.854002	6.1695065	3.4385278	DifEn
Ubxn10	4	138709837	138737167	-	1.0576892	6.5972853	0.7661024	DifEn
Pla2g5	4	138799244	138863482	-	-7.327934	0.41609514	-4.0322638	DifEn
Igsf21	4	140026846	140246784	-	1.6087043	3.3813837	2.121894	DifEn
Epha2	4	141301240	141329384	+	2.076735	6.604343	3.4875433	DifEn
Fhad1	4	141890438	142015082	-	-7.327934	4.6560817	-2.2890391	DifEn
Dhrs3	4	144892827	144928209	+	0.24192207	4.140839	-0.98597	DifEn
Cort	4	149125034	149126763	-	-2.5320742	0.111761004	-2.3463721	DifEn
Morn1	4	155086577	155145505	+	1.1991091	4.3813834	1.4114006	DifEn
Tmem52	4	155469114	155470858	+	-7.327934	-0.20471267	-8.7078285	DifEn
Ttll10	4	156034840	156059344	-	-3.716499	2.5451252	-8.555826	DifEn
A330021E22Rik	5	5579278	5664239	-	0.33976942	6.4921894	1.3160796	DifEn
Ccdc146	5	21292961	21424677	-	-7.327934	5.071236	-5.748471	DifEn
Fbxl13	5	21483847	21645605	-	-7.327934	2.4424062	-4.163508	DifEn
Cnpy1	5	28200819	28245792	-	0.05288823	4.389295	-0.9119695	DifEn
Shh	5	28456815	28467101	-	-4.1759305	4.4580736	-6.2338977	DifEn
Rnf32	5	29195992	29225524	+	0.1816215	5.346107	1.3837535	DifEn
Ccdc164	5	30281388	30366708	+	0.7607075	6.213618	-1.8976141	DifEn
Mapre3	5	30814641	30866106	+	0.13695249	3.2621238	0.7039176	DifEn
Cgref1	5	30933146	30945480	-	0.0432381	2.214572	-0.9119695	DifEn
Gckr	5	31297581	31327300	+	-2.421043	2.1495159	-3.9119694	DifEn
Ppp1cb	5	32458974	32517433	+	8.153095	9.471061	8.371629	DifEn
Tnip2	5	34496087	34513997	-	-3.0884676	0.1548297	-1.4162742	DifEn
Lrpap1	5	35091490	35105766	-	6.9338183	8.407147	6.5093384	DifEn
Htra3	5	35652041	35679782	-	-1.3179495	1.9561102	-3.8009384	DifEn
Ccdc96	5	36484588	36488171	+	0.4387794	5.053209	1.1720948	DifEn
Fgfbp1	5	43978865	43981762	-	1.2835011	4.8507743	1.1059525	DifEn
Slc34a2	5	53038082	53071664	+	-7.1759305	2.9081447	-2.4473011	DifEn
Arap2	5	62602445	62766198	-	0.10947186	2.7833288	0.65606266	DifEn
Chrna9	5	65934921	65977326	+	-2.1315362	5.700362	-1.855386	DifEn
Rbm47	5	66016549	66173117	-	2.8141737	7.0328803	3.2140121	DifEn
Nsun7	5	66259912	66298016	+	-1.1986505	3.160124	-3.855386	DifEn
Atp8a1	5	67618140	67847432	-	2.7339625	5.299788	2.8995016	DifEn
Kctd8	5	69109285	69341709	-	0.3786584	1.5711925	-0.6610078	DifEn
Corin	5	72300025	72504473	-	-7.1759305	1.6410141	-3.4683628	DifEn
Spata18	5	73651380	73679484	+	-4.3685756	3.5154831	-8.7078285	DifEn
Afp	5	90490714	90508907	+	-4.3685756	7.334666	1.0045072	DifEn
Areg	5	91139615	91148432	+	-3.590968	0.38024983	-4.0322638	DifEn
Parm1	5	91517615	91626894	+	1.2711529	5.7669396	0.95394933	DifEn
Cdkl2	5	92006074	92043042	-	0.5789571	5.0021634	-0.07604538	DifEn
Fgf5	5	98254184	98277030	+	4.0039787	7.082346	3.5041947	DifEn
Mapk10	5	102907948	103211334	-	-0.07789837	4.7486053	-1.7484708	DifEn
Aff1	5	103692374	103855322	+	4.772802	6.3843555	4.2790403	DifEn
Sparcl1	5	104079111	104114088	-	-7.327934	4.7965627	1.6524086	DifEn
Iqcd	5	120589016	120607114	+	0.7898539	3.5830667	-0.46836284	DifEn
Oas1d	5	120914536	120921652	+	-0.8540023	4.7846146	-2.5785456	DifEn
Tctn1	5	122241287	122264460	-	2.469728	4.896693	2.0762608	DifEn
1500011H22Rik	5	122364580	122372364	-	4.1722445	5.713025	4.455227	DifEn
Ift81	5	122550204	122614518	-	4.289126	6.912269	4.841849	DifEn
Morn3	5	123035769	123047016	-	-4.5909677	3.255956	-3.0963938	DifEn
Lrrc43	5	123489325	123508205	+	-7.1759305	4.3498764	-3.4265428	DifEn
B3gnt4	5	123510460	123511882	+	1.0955325	3.5899484	1.6053061	DifEn
Fam101a	5	125003447	125012547	+	1.3476316	3.7712708	0.2090459	DifEn
Stx2	5	128984557	129008574	-	2.1991088	5.276211	2.6687791	DifEn
Zp3	5	135980099	135988624	+	-2.0466473	-0.074652106	-4.233897	DifEn
Orai2	5	136147464	136170656	-	-4.854002	3.0288167	-0.8763455	DifEn
Rabl5	5	136908150	136913244	+	3.8519757	5.991994	4.538252	DifEn
Pilrb1	5	137852147	137858049	-	-7.327934	1.995145	-6.9708633	DifEn
Pilrb2	5	137865829	137871758	-	-5.5909677	2.2272382	-6.2338977	DifEn
Cyp3a13	5	137892932	137921619	-	-7.327934	0.7608538	-5.096394	DifEn
Fam20c	5	138754514	138810077	+	-0.13153629	2.5451252	-2.0639725	DifEn
Gpr30	5	139423151	139427800	+	-5.1759305	2.4315016	-4.648935	DifEn
Tmem184a	5	139802485	139819917	-	1.1001939	3.6315165	-2.1982737	DifEn
Rsph10b2	5	143933035	143985719	+	-0.90914387	4.011347	-1.1128821	DifEn
Nptx2	5	144545887	144557478	+	3.7481396	4.8491364	2.311453	DifEn
Smurf1	5	144876495	144965847	-	2.192576	3.3504553	3.0561213	DifEn
Rxfp2	5	150018675	150082184	+	-0.21014611	2.418306	-2.9411159	DifEn
Tfpi2	6	3962594	3968375	-	-7.327934	1.7003622	-1.9559127	DifEn
Gng11	6	4003943	4008445	+	0.5245093	3.5987482	1.2057256	DifEn
Pdk4	6	5483351	5496309	-	-1.5320742	1.0446467	-0.42654267	DifEn
Shfm1	6	6558283	6578652	-	8.220206	8.82061	8.482954	DifEn
Tmem106b	6	13069759	13089269	+	4.399136	6.1231575	4.100152	DifEn
Tfec	6	16833381	16898441	-	-7.327934	1.4596844	-4.748471	DifEn
Iqub	6	24444865	24515067	-	-2.5320742	6.495727	-2.9119694	DifEn
Tspan33	6	29694222	29718559	+	2.4929545	4.688045	-0.57283205	DifEn
Slc13a4	6	35267957	35308131	-	2.6959748	6.529869	2.3137681	DifEn
Ttc26	6	38381469	38427647	+	4.3068776	7.071236	4.4023643	DifEn
Tas2r108	6	40493592	40494485	+	-7.327934	-1.8033502	-8.7078285	DifEn
Prss1	6	41458932	41463786	+	-7.327934	2.1280627	-8.7078285	DifEn
Nobox	6	43303674	43309562	-	-2.4754908	-0.21838754	-8.7078285	DifEn
Tpk1	6	43345001	43666278	-	2.355451	4.1940713	2.8751495	DifEn
Tmem176b	6	48833811	48841374	-	3.3728914	5.688274	3.4919798	DifEn
Tmem176a	6	48841483	48845364	+	2.6679907	4.7578015	2.741664	DifEn
Npy	6	49822710	49829507	+	-7.1759305	2.8779385	-6.5558257	DifEn
Snx10	6	51523901	51590679	+	6.6125836	7.5579677	5.1557336	DifEn
Creb5	6	53573384	53696007	+	-4.854002	0.23729196	-8.7078285	DifEn
Scrn1	6	54505890	54566489	-	-6.1759305	3.002532	-1.3660011	DifEn
Aqp1	6	55336432	55348555	+	-3.0884676	-0.12527815	-2.6731825	DifEn
Fam13a	6	58932090	59024549	-	1.2711529	5.162764	1.3313949	DifEn
Cd8a	6	71373427	71379171	+	-2.783613	3.0201082	-5.233897	DifEn
Dqx1	6	83057844	83067210	+	3.9674525	4.7459674	3.0588841	DifEn
Stambp	6	83543206	83572504	-	2.6773791	4.1042275	2.80557	DifEn
Noto	6	85423886	85429602	+	-2.3685756	8.942516	-2.4060786	DifEn
Anxa4	6	86736840	86793584	-	3.1739037	5.6983166	2.3630376	DifEn
Hdac11	6	91156665	91174692	+	1.9141821	4.128738	1.968716	DifEn
Wnt7a	6	91363981	91411363	-	-2.590968	3.7468472	-2.016667	DifEn
Trh	6	92242061	92244650	-	6.9625015	9.646196	2.0780778	DifEn
Fam19a4	6	96831209	97060411	-	0.1816215	1.271938	-1.3759165	DifEn
Frmd4b	6	97286867	97617541	-	2.9814167	5.3765593	2.8824465	DifEn
Syn2	6	115134902	115282626	+	-3.0884676	0.6447958	-2.9119694	DifEn
Tmem40	6	115729131	115762466	-	-7.1759305	-0.33272025	-2.6250882	DifEn
BC060267	6	115810729	115838412	-	1.6726924	4.6291323	-0.6074584	DifEn
Ret	6	118151748	118197744	-	0.29167506	4.373429	3.153689	DifEn
Ninj2	6	120093350	120200339	+	-0.7665395	3.389295	0.50216603	DifEn
Slc2a3	6	122727809	122801640	-	8.978374	11.097733	7.0633345	DifEn
Grcc10	6	124739183	124741374	-	6.180521	7.965165	6.747741	DifEn
Atn1	6	124739189	124756524	-	6.0533385	7.6872425	6.603178	DifEn
Lrrc23	6	124769863	124779727	-	-1.4754908	5.531913	-5.5558257	DifEn
Lpar5	6	125067920	125082472	+	-0.90914387	0.4336891	-4.748471	DifEn
Cd9	6	125460266	125494791	-	5.2594795	6.7350326	4.0572734	DifEn
Clec1b	6	129397297	129409335	+	-7.327934	0.8682668	-3.1982737	DifEn
Bcl2l14	6	134396318	134438736	+	-0.04664738	2.0098815	-0.30789813	DifEn
Cdkn1b	6	134920401	134925513	+	4.2450824	6.1581407	4.648134	DifEn
Gprc5a	6	135065651	135084709	+	-0.986106	4.6546755	-2.2338977	DifEn
Emp1	6	135362931	135383173	+	-7.327934	3.8230891	-1.6489351	DifEn
Plbd1	6	136612070	136661928	-	0.27528068	3.9159899	2.0187678	DifEn
Iapp	6	142298423	142303961	+	-7.327934	-1.099743	-6.2338977	DifEn
St8sia1	6	142821545	142964452	-	-1.2217342	1.9742575	-2.327007	DifEn
4833442J19Rik	6	149139849	149151171	+	4.1533055	5.8642178	3.6828778	DifEn
Tmc4	7	3665790	3677524	-	3.9946208	5.5123816	3.3574378	DifEn
Cdc42ep5	7	4151260	4164860	-	4.2093925	5.1859837	2.841314	DifEn
Tnni3	7	4518305	4524229	-	-0.48942995	3.6103988	-0.4317044	DifEn
6030429G01Rik	7	4522933	4532453	-	1.5889412	5.5617223	0.5734573	DifEn
Syt5	7	4539768	4546567	-	1.9559265	4.3015857	-3.307898	DifEn
Tmem190	7	4782940	4784341	+	-1.5612205	0.8811481	-1.84158	DifEn
Sbk2	7	4957081	4964348	-	-7.1759305	0.90025693	-4.3859005	DifEn
Usp29	7	6961160	6963769	+	-3.0060053	0.82225436	-2.3660011	DifEn
Mzf1	7	13042303	13054764	-	-0.59096795	2.2120252	0.29904282	DifEn
Psg25	7	18519704	18532227	-	-7.327934	-0.72317976	-8.7078285	DifEn
Pglyrp1	7	18884690	18890438	+	-1.7164989	0.6746972	-2.7229357	DifEn
Foxa3	7	19013282	19023538	-	1.3748163	3.660758	-0.6610078	DifEn
