gene	chr	starts	ends	ecto	endo	meso
Ovol2	2	144332146	144305175	1.1110092	3.0615358	-3.0945606
4930529M08Rik	2	145934784	146215039	-3.1201224	-0.13071314	-3.7074788
Foxa2	2	148046969	148042877	-0.7741685	6.4263105	-3.0219953
Cst13	2	148820081	148830410	-6.712073	0.64612544	-7.0997577
Cst3	2	148875692	148871722	6.70275	8.447203	7.358172
Mylk2	2	152911352	152923068	-8.626193	-0.48811996	-9.013877
Ttll9	2	152962485	153008482	0.12572418	2.2087321	-1.2094927
Map1lc3a	2	155276297	155278073	3.8769825	5.1510344	3.987775
Myl9	2	156775420	156781658	3.0302756	4.685186	2.9665356
Lbp	2	158306493	158332852	-3.484868	0.44778547	-2.2242637
Eya2	2	165595032	165771727	-2.5258482	1.1171716	-1.997364
Atp9a	2	168742409	168634438	-0.5800062	2.9848418	-0.9920917
Bmp7	2	172940321	172868012	-1.4279693	4.7761073	3.0549848
Spo11	2	172977700	172993576	-5.7142825	1.6708832	-2.2606647
Npepl1	2	174110349	174123070	2.138732	3.7805705	1.5551605
Slc17a9	2	180725263	180742280	-0.98372746	1.6751198	-4.51931
Hey1	3	8667039	8663362	-0.4599983	3.1452084	0.7570771
Car2	3	14886426	14900769	5.230676	7.8912783	5.464498
Agtr1b	3	20367177	20314473	-3.2604206	2.2767482	-6.4029927
Pld1	3	27938695	28133362	-5.148734	0.14751704	-4.224474
Lrrc34	3	30647869	30624267	-1.3243406	3.6090357	-0.2598176
Lrriq4	3	30644507	30672431	-5.3786993	-0.28571433	-4.242821
Cldn11	3	31149946	31164324	-1.606	1.9112692	-1.6136531
Kcnmb2	3	31902507	32200180	-0.75732636	2.8786013	-1.3913218
Ccdc39	3	33844310	33812362	0.36976227	3.4131367	0.41216072
Qrfpr	3	36222275	36179424	-2.8105507	1.0205132	-8.559691
Anxa5	3	36475843	36448925	1.8301195	5.6738043	3.9956145
Cetn4	3	37312708	37307749	-4.9244814	0.7035406	-1.8943133
Intu	3	40531286	40704774	0.25993532	2.8882608	0.09848353
Serp1	3	58525873	58521969	6.7541475	7.430772	6.737192
Mlf1	3	67374097	67400003	2.4690943	6.7782497	2.6751504
Zbbx	3	75165034	75037907	-3.2288046	3.118886	-6.0945363
Glrb	3	80913660	80843599	-2.7446468	0.08412535	-3.231867
Fgb	3	83049803	83042247	-7.782199	-0.29394016	-8.169884
Tlr2	3	83841767	83836273	-8.65619	-0.8559865	-9.043874
Apoa1bp	3	88058495	88056523	5.8637924	6.822716	6.0530977
Riiad1	3	94473591	94464985	1.6590446	6.7491927	1.7192216
Tuft1	3	94658872	94612757	-1.3534718	2.2958183	0.04785646
Lysmd1	3	95134088	95139518	0.40501988	2.6164787	0.17461625
Txnip	3	96557957	96561883	2.2396011	4.1577883	0.9559616
Cd2	3	101287939	101275899	-4.712902	0.19163775	-2.5770245
Casq2	3	102086415	102146514	-8.517056	-0.60137683	-7.167776
Tshb	3	102782714	102777398	-2.5799172	0.55547017	-6.820044
Slc16a1	3	104638668	104658462	5.2295165	8.498312	5.852606
Mov10	3	104818563	104794836	0.47227037	2.893226	-0.6408461
1700027A23Rik	3	106014646	105996957	1.5834118	7.5101204	0.23420142
Chia	3	106113229	106132120	-5.256299	-0.71913016	-8.380948
Larp7	3	127553348	127536954	7.196046	8.380082	6.8644104
Cfi	3	129836739	129875328	-3.5723884	0.18599436	-8.504394
Casp6	3	129901425	129914103	3.7813034	5.1800165	3.8289049
Sgms2	3	131344940	131318985	-2.9279244	0.47879702	-4.2698054
Slc39a8	3	135825279	135888572	-0.26988274	4.104191	1.5261041
Mttp	3	138143388	138089855	-1.2528646	1.9123505	-0.30959177
AI747448	3	144932529	144910921	-3.6891499	-0.36001837	-6.884189
Odf2l	3	145118589	145153915	2.62129	4.4202876	2.36521
Cyr61	3	145649985	145646971	1.1086155	4.3836474	2.5793843
Wdr63	3	146108130	146040526	-7.05529	1.985227	-5.0279374
Lpar3	3	146220961	146286214	-3.3245568	3.457499	0.42799246
Gipc2	3	152166230	152093533	-2.6884673	1.2511957	-3.9327874
Tmem67	4	12090020	12039355	-0.30955863	2.2065349	0.24010637
Ripk2	4	16163647	16122733	2.029037	4.1775503	2.074505
Klhl32	4	24851124	24612554	-1.6766899	2.1038175	-1.2831033
1700003M02Rik	4	34730206	34688559	-2.418296	4.897382	-0.52057815
Chmp5	4	40948407	40965303	6.3449793	7.1763344	6.54787
Dnaic1	4	41569775	41638158	-2.1037061	2.3131683	-7.7767925
Arid3c	4	41731142	41723836	-1.5485399	1.7622783	-1.6341954
Spag8	4	43653594	43651335	-1.7879251	4.6934557	-3.278703
Tmem8b	4	43668971	43692668	-3.1767998	-0.07508821	-5.073498
Shb	4	45532470	45423278	-0.40573144	1.9830652	-0.82347286
E230008N13Rik	4	45890303	45950774	-5.9948707	0.72371864	-9.856486
Lpar1	4	58553898	58435255	1.7006185	4.3549123	2.4671254
Ptgr1	4	58987119	58965439	1.892112	3.9284089	2.109386
Slc31a2	4	62262562	62298411	0.84476376	3.695231	1.6371694
Ambp	4	63154799	63143275	-7.5596604	-0.5718305	-6.795342
Kif12	4	63172131	63165634	-8.828401	0.07800206	-9.2160845
Orm3	4	63356162	63359511	-6.693529	-0.47828862	-7.0812135
Cer1	4	82885148	82881751	1.0602459	9.620755	5.483802
Frem1	4	83052339	82897920	-1.460684	1.5033545	-1.102941
Ift74	4	94614491	94693229	4.599972	6.323609	4.851959
Ube2u	4	100478849	100550147	-2.106838	2.696716	-4.1134324
Tctex1d1	4	102986379	103005594	-2.3763068	5.2589297	1.4890752
Wdr78	4	103114555	103038065	-2.5534463	1.3217188	-1.1812646
Dmrtb1	4	107684230	107676290	-8.123652	0.014421006	-3.5013518
Txndc12	4	108834601	108862127	4.1212654	5.3621087	4.2634616
Spata6	4	111719984	111829184	1.0414507	3.668203	1.9080576
Slc5a9	4	111902918	111875375	-9.4390545	1.281336	-9.826739
Pdzk1ip1	4	115088708	115093899	-2.573316	2.1985583	-1.7046608
4930544O15Rik	4	115781018	115779834	-6.7466636	0.13154253	-3.3973818
Dmbx1	4	115939926	115914544	-5.276101	-0.41931427	-6.5262814
Tspan1	4	116167601	116161869	-8.132696	1.351203	-7.520381
Tmem53	4	117251951	117268582	-1.712231	1.3201454	-2.1703048
Ccdc24	4	117872557	117866524	-3.407597	-0.21804324	-3.634817
Dnali1	4	125065703	125055338	-3.1985147	3.1518855	-3.3060913
Oscp1	4	126058565	126092195	0.09020273	3.403094	0.41704923
1700029G01Rik	4	126163491	126150602	-4.0330725	0.39006108	-7.157722
Tekt2	4	126325688	126322121	-0.7097021	4.9142504	-4.767238
Tinagl1	4	130175122	130164454	-9.188655	0.82964027	-3.5914462
Fam76a	4	132922558	132899213	1.6673558	4.0353312	2.4676557
Sytl1	4	133263113	133253090	-0.17380165	2.0339108	-3.3475459
Nipal3	4	135495038	135445420	-2.2896485	0.61724687	-3.4672472
4930555I21Rik	4	135494790	135537803	-8.675689	-0.97932166	-8.911369
Ldlrad2	4	137574569	137572083	-4.107073	0.69313025	-2.172829
Vwa5b1	4	138635884	138565360	-5.7899213	2.237515	-0.024277432
Ubxn10	4	138737167	138709837	-2.196394	3.8471735	-2.7767234
Pla2g5	4	138863482	138799244	-6.1191287	-0.75332874	-6.0213866
Igsf21	4	140246784	140026846	0.42867208	3.3016167	0.40105882
Epha2	4	141301240	141329384	2.0044637	4.4380054	1.8044685
Fhad1	4	142015082	141890438	-7.5314593	1.6916494	-9.919144
Dhrs3	4	144892827	144928209	-2.9388463	2.600829	-1.992112
Cort	4	149126763	149125034	-4.3502135	1.0587989	-4.41597
Morn1	4	155086577	155145505	-1.0873792	1.8096088	-1.3189443
Tmem52	4	155469114	155470858	-7.2753778	-0.6007055	-7.663062
Ttll10	4	156059344	156034840	-5.4593496	1.28196	-9.320965
A330021E22Rik	5	5664239	5579278	-2.2012224	3.0278237	-1.1675775
Ccdc146	5	21424677	21292961	-5.4543357	2.5448856	-6.426982
Fbxl13	5	21645605	21483847	-6.717865	-0.06966546	-5.1986594
Cnpy1	5	28245792	28200819	-1.1440097	2.510708	-2.5637045
Shh	5	28467101	28456815	-5.171739	1.8881549	-7.144386
Rnf32	5	29195992	29225524	-2.322241	4.3836865	0.23720251
Ccdc164	5	30281388	30366708	-0.5962944	4.1766944	-5.1539035
Mapre3	5	30814641	30866106	-1.1501064	1.6009184	-1.4398155
Cgref1	5	30945480	30933146	0.120702684	2.5223563	-3.5400004
Gckr	5	31297581	31327300	-4.7516913	1.6859418	-4.724338
Ppp1cb	5	32458974	32517433	5.24516	7.0323253	5.6208777
Tnip2	5	34513997	34496087	-8.590557	-0.33092195	-4.2412753
Lrpap1	5	35105766	35091490	4.6255913	6.1452193	4.564036
Htra3	5	35679782	35652041	-3.0036054	0.78159535	-9.401274
Ccdc96	5	36484588	36488171	-2.0403109	2.800534	-1.9623317
Fgfbp1	5	43981762	43978865	0.38021675	5.0984263	-1.0810487
Slc34a2	5	53038082	53071664	-9.390088	-0.18995374	-9.777772
Arap2	5	62766198	62602445	-3.4516895	0.40740743	-3.6694486
Chrna9	5	65934921	65977326	-4.4191155	4.2986875	-4.5019455
Rbm47	5	66173117	66016549	0.012919446	4.0161095	0.8108356
Nsun7	5	66259912	66298016	-3.978474	-0.70800394	-5.0232706
Atp8a1	5	67847432	67618140	-1.1531059	1.5234199	-0.9269726
Kctd8	5	69341709	69109285	-2.339943	0.59289795	-2.0340543
Corin	5	72504473	72300025	-6.5385904	-0.27521315	-9.8856325
Spata18	5	73651380	73679484	-7.913707	0.541848	-8.453395
Afp	5	90490714	90508907	-8.125729	2.3215337	-8.513412
Areg	5	91139615	91148432	-5.589855	-0.6090797	-5.240574
Parm1	5	91517615	91626894	-2.0844772	3.2061532	-1.2713993
Cdkl2	5	92043042	92006074	-1.6180303	2.3950214	-2.3369205
Fgf5	5	98254184	98277030	3.4962525	6.036997	1.4509664
Mapk10	5	103211334	102907948	-2.572684	1.2528301	-9.195585
Aff1	5	103692374	103855322	1.082689	3.098953	0.29542255
Sparcl1	5	104114088	104079111	-8.703758	1.8304019	-1.7795677
Iqcd	5	120589016	120607114	0.22463514	2.7331564	-1.6194276
Oas1d	5	120914536	120921652	-1.5882051	2.6270354	-8.467743
Tctn1	5	122264460	122241287	0.15375952	2.7541447	-0.73808813
1500011H22Rik	5	122372364	122364580	3.4989402	4.910864	3.6619925
Ift81	5	122614518	122550204	2.4316635	4.683954	2.768683
Morn3	5	123047016	123035769	-7.3491473	1.8570477	-5.15187
Lrrc43	5	123489325	123508205	-4.0389013	2.948225	-1.7788874
B3gnt4	5	123510460	123511882	0.31954548	2.8078976	0.71395624
Fam101a	5	125003447	125012547	-0.040261284	2.8426864	-1.135553
Stx2	5	129008574	128984557	-0.43957445	2.57744	0.018570354
Zp3	5	135980099	135988624	-7.468802	-0.83852375	-7.856486
Orai2	5	136170656	136147464	-4.608417	0.62755495	-4.4891415
Rabl5	5	136908150	136913244	3.52413	5.9524317	4.464074
Pilrb1	5	137858049	137852147	-7.093558	0.3696101	-5.744277
Pilrb2	5	137871758	137865829	-7.7665825	1.3116055	-8.306271
Cyp3a13	5	137921619	137892932	-8.628635	-0.52262366	-9.01632
Fam20c	5	138754514	138810077	-3.3473978	0.6669301	-3.651018
Gpr30	5	139423151	139427800	-3.0861843	2.3719127	-6.3218656
Tmem184a	5	139819917	139802485	-1.7813224	0.79128003	-7.3784604
Rsph10b2	5	143933035	143985719	-2.3757944	1.9098355	-3.4098418
Nptx2	5	144545887	144557478	2.0374472	3.5957692	1.0778877
Smurf1	5	144965847	144876495	-2.0767121	0.8617189	-1.8349593
Rxfp2	5	150018675	150082184	-3.603371	-0.07446983	-7.2134476
Tfpi2	6	3968375	3962594	-7.67852	1.141582	-2.0315588
Gng11	6	4003943	4008445	0.6112888	4.5392475	1.5772414
Pdk4	6	5496309	5483351	-8.876871	0.084324084	-3.5275896
Shfm1	6	6578652	6558283	9.370941	9.956001	9.652989
Tmem106b	6	13069759	13089269	1.3985494	3.3993034	1.0284473
Tfec	6	16898441	16833381	-7.8960557	-0.075952835	-8.28374
Iqub	6	24515067	24444865	-3.196315	4.637678	-4.0396786
Tspan33	6	29694222	29718559	-0.9020923	1.4024844	-3.8198128
Slc13a4	6	35308131	35267957	-0.0284646	3.2621646	0.17330094
Ttc26	6	38381469	38427647	1.7437792	4.47697	2.0228393
Tas2r108	6	40493592	40494485	-6.9033356	-0.14377452	-7.29102
Prss1	6	41458932	41463786	-6.75205	2.2445507	-2.528299
Nobox	6	43309562	43303674	-3.5918167	-0.25294495	-8.379432
Tpk1	6	43666278	43345001	-0.8925932	2.3878932	0.30980992
Tmem176b	6	48841374	48833811	2.1395571	3.64931	1.5577114
Tmem176a	6	48841483	48845364	2.57944	4.919764	1.4043987
Npy	6	49822710	49829507	-6.243863	1.3864154	-6.631547
Snx10	6	51523901	51590679	4.052211	5.1730485	2.6500568
Creb5	6	53573384	53696007	-5.346183	-0.71590465	-7.3188295
Scrn1	6	54566489	54505890	-5.586068	-0.6052931	-10.518073
Aqp1	6	55336432	55348555	-8.4584055	-0.38518357	-5.694086
Fam13a	6	59024549	58932090	-3.4872725	1.8649893	-1.3440342
Cd8a	6	71373427	71379171	-8.711152	-0.08087353	-5.7769074
Dqx1	6	83057844	83067210	2.4222245	4.114355	2.1788626
Stambp	6	83572504	83543206	0.8758335	3.182481	1.1391256
Noto	6	85423886	85429602	-0.033424843	7.7369194	-2.9044313
Anxa4	6	86793584	86736840	0.63776106	3.2540011	-0.06467288
Hdac11	6	91156665	91174692	-1.0501145	1.6569792	-1.3026392
Wnt7a	6	91411363	91363981	-2.6957355	3.012336	-9.118066
Trh	6	92244650	92242061	6.794967	8.684516	0.24729432
Fam19a4	6	97060411	96831209	-2.231282	1.6442091	-5.426321
Frmd4b	6	97617541	97286867	-1.2667524	1.3058816	-1.1758125
Syn2	6	115134902	115282626	-9.562218	-0.898517	-9.797899
Tmem40	6	115762466	115729131	-7.047864	-0.592309	-3.911986
BC060267	6	115838412	115810729	-0.6186791	2.7465613	-3.7137225
Ret	6	118197744	118151748	-3.9816074	2.0021956	-0.13635702
Ninj2	6	120093350	120200339	-0.37616315	4.240369	1.3128451
Slc2a3	6	122801640	122727809	5.51185	7.3558464	4.5854955
Grcc10	6	124741374	124739183	5.0078373	6.7406054	5.518383
Atn1	6	124756524	124739189	3.5014863	5.114995	4.0045824
Lrrc23	6	124779727	124769863	-2.247658	4.265041	-8.246778
Lpar5	6	125067920	125082472	-1.784383	1.3322935	-5.3150253
Cd9	6	125494791	125460266	4.035044	5.171425	2.7672827
Clec1b	6	129397297	129409335	-9.416335	-0.28621066	-4.3300877
Bcl2l14	6	134396318	134438736	-2.0757797	1.0596075	-2.6473281
Cdkn1b	6	134920401	134925513	1.866298	3.7786005	2.1485474
Gprc5a	6	135065651	135084709	-3.8017237	3.0164013	-2.1305144
Emp1	6	135362931	135383173	-3.3499768	2.1407676	-5.207146
Plbd1	6	136661928	136612070	-0.5283334	2.3233998	0.057509903
Iapp	6	142298423	142303961	-7.026983	0.38465533	-7.4146667
St8sia1	6	142964452	142821545	-8.525732	-0.5396619	-5.1764503
4833442J19Rik	6	149139849	149151171	3.047007	4.482881	2.435672
Tmc4	7	3677524	3665790	1.2616152	2.973514	1.133727
Cdc42ep5	7	4164860	4151260	3.3648357	4.741253	2.4621916
Tnni3	7	4524229	4518305	-2.1321704	0.5370474	-3.9258468
6030429G01Rik	7	4532453	4522933	0.13352983	3.5669503	-1.0359744
Syt5	7	4546567	4539768	1.0100552	3.0687487	-5.1055493
Tmem190	7	4782940	4784341	-1.894031	2.7957482	0.17079704
Sbk2	7	4964348	4957081	-2.9308286	1.5272685	-3.318513
Usp29	7	6961160	6963769	-4.1271105	-0.23379797	-8.836723
Mzf1	7	13054764	13042303	-2.7883663	1.062952	-6.106788
Psg25	7	18532227	18519704	-8.680876	-0.84114444	-9.068561
Pglyrp1	7	18884690	18890438	0.6070719	2.4682908	-1.2869651
Foxa3	7	19023538	19013282	-0.0160351	2.508971	-2.97098
Eml2	7	19176421	19206482	1.180637	3.4236565	0.11875449
Apoc1	7	19692658	19689484	3.1133032	4.357113	1.8057892
Apoe	7	19699166	19696109	6.350553	8.508168	6.8851237
Pvrl2	7	19749573	19716644	4.8974133	6.0950546	4.787382
2210010C17Rik	7	19950743	19937305	-1.3273889	2.6088755	-1.5363674
Vmn1r113	7	20787285	20788208	-6.950954	0.29403424	-7.338638
Rabac1	7	24972728	24969750	5.5364575	6.341017	5.410136
Gm7092	7	25615892	25614621	-3.7769244	0.7888135	-2.8426807
Fcgbp	7	28071236	28120862	-5.550003	-0.9874121	-10.844579
Kcnk6	7	29232522	29221928	-5.244294	0.31490073	-4.474437
Rhpn2	7	35334175	35392285	1.3430161	3.1968	0.049659137
Zfp819	7	43607169	43618285	-0.46696582	2.321108	-1.2105256
Josd2	7	44467980	44471652	2.3847542	4.1457596	2.5056815
Kdelr1	7	45872772	45883731	3.809653	5.1657495	4.129648
Ccdc114	7	45924072	45948956	-0.22055785	2.8079739	-0.882588
Tph1	7	46672537	46647130	-5.7934756	0.11106433	-3.9717064
Fam174b	7	73740307	73776919	0.1046501	2.3944318	-0.7050178
Cib1	7	80232813	80227156	4.1244593	5.181999	3.8315976
Ttll13	7	80246376	80260821	-5.0779557	-0.6521483	-4.1030703
Fam154b	7	82648528	82632960	0.3437076	3.2973378	-1.191808
1700026D08Rik	7	83794880	83774101	-3.920181	3.3589935	-7.892828
Ctsc	7	88278085	88310888	2.3151696	4.871338	2.471936
Ccdc89	7	90426312	90428660	-1.4445927	2.4573638	-1.4883227
Xrra1	7	99859218	99917824	-8.460601	0.6853777	-2.9149215
Kcne3	7	100176670	100184869	-3.1087537	1.9940126	-0.3879132
P4ha3	7	100285520	100319699	-2.1434407	0.6877153	-7.906164
Dnajb13	7	100514960	100503018	-1.9054388	6.40435	-0.7943174
Stard10	7	101317086	101346626	0.29775968	3.3812885	-0.90959275
Lrrc51	7	101933895	101912984	0.80636054	2.912334	0.57914096
Prkcdbp	7	105482197	105480607	-0.9402487	2.3548622	0.03340351
Ppfibp2	7	107595051	107748582	-2.0459964	0.74581873	-4.0827737
Stk33	7	109439081	109279223	-0.8535486	3.291547	-3.3869104
Calca	7	114636357	114631480	4.2083554	7.2595825	0.22119561
Nucb2	7	116504374	116540584	1.5406768	3.482164	1.6321071
Arl6ip1	7	118129625	118118891	7.5963264	8.090859	7.5450273
Syt17	7	118443552	118381856	-0.9058657	1.8549631	-3.3501337
Anks4b	7	120173858	120183716	-2.649063	0.1731661	-8.474153
Vwa3a	7	120739557	120805742	-5.454253	0.9248889	-2.9715726
Gm166	7	127588595	127582384	1.4948978	4.4025903	1.1918151
Prss8	7	127930113	127925725	4.460025	5.4758916	0.35714027
Btbd16	7	130774069	130825897	-8.844039	-0.36827028	-9.231723
Chst15	7	132317228	132235780	-1.354051	2.8497849	-0.75314015
Oat	7	132576398	132557475	6.535773	7.1600986	6.4253225
Fank1	7	133776861	133881532	-8.161251	2.3145173	-4.3969316
9330101J02Rik	7	139683817	139638778	-3.289789	1.6778709	-9.6998415
Ifitm6	7	141016892	141015812	-6.1786895	-0.4609484	-4.4143705
Lrrc56	7	141194157	141210055	0.23062696	3.617809	-0.73949975
Kcnq1	7	143107254	143427042	-8.663831	-0.57412076	-7.3145494
Lrrc8e	8	4226827	4237470	-3.620371	0.42375746	-5.67102
Ctxn1	8	4259274	4257648	4.362891	6.2484584	4.3369846
Efnb2	8	8660773	8617434	3.9125733	5.187209	3.2144976
Rab20	8	11478638	11453392	2.0306802	3.835738	-1.7883435
Myom2	8	15057653	15133541	-3.104956	0.6261371	-3.788625
Nek5	8	22125053	22073616	-8.330425	2.0072114	-2.9513974
Ap3m2	8	22805654	22787354	-2.5569265	1.0799404	-2.865539
Sfrp1	8	23411502	23449632	4.4435434	6.056528	5.1361384
Adam32	8	24948804	24836140	-6.9096155	-0.5405698	-4.7948
Zfp703	8	26977336	26981461	-0.49764818	2.1786976	0.18456954
Unc5d	8	29219338	28646717	-3.6109211	0.111825615	-4.5511465
Tusc3	8	39005867	39165112	4.064211	5.7511454	4.160464
Mtus1	8	41133726	40990914	-1.7304233	1.2108622	-3.6003845
Slc25a4	8	46211284	46206797	5.933414	7.8715215	7.30046
Wdr17	8	54887184	54629055	-2.9708872	0.03900068	-4.3163433
