gene	chr	start	end	ecto	endo	meso
Mest	6	30723547	30748455	7.3091445	7.8662434	8.937045
Adcyap1r1	6	55451978	55501451	1.2163869	-0.025742535	4.130237
St3gal5	6	72097613	72154570	2.8198366	1.3527691	4.182478
Usp18	6	121245906	121270916	-1.7164989	-3.0257423	2.8033748
Tnfrsf1a	6	125349362	125362484	3.3661342	3.818074	5.2200933
Ccnd2	6	127125779	127151048	8.132515	7.712913	8.803075
Slco1c1	6	141524386	141570177	-7.327934	-1.6847056	1.0291369
Ceacam10	7	24777204	24784649	-2.1315362	-6.932633	2.297484
Dll3	7	28293553	28302238	2.932594	5.237605	8.087284
Etv2	7	30633616	30635852	1.3901236	-0.39347425	3.412121
Kctd15	7	34639014	34655509	3.5528402	1.5751616	4.814181
Mesp1	7	79792241	79793788	1.8042091	2.9097173	8.2203245
Mesp2	7	79810727	79813431	-3.1759303	-0.21838754	5.3961873
Lmo1	7	109138572	109170308	-0.800891	-0.3032765	2.9400294
Htra1	7	130936111	130985660	0.9273574	2.9377315	4.6253266
Ifitm1	7	140967221	140969825	5.1414824	9.101241	9.742962
Sct	7	141278331	141279133	-2.1315362	-1.3179232	1.4789734
Slc22a18	7	143473721	143499334	-0.14250746	2.288954	3.248709
Phlda2	7	143501545	143502541	5.9234176	5.3141074	10.274724
Fgf3	7	144838083	144844436	1.0039786	0.5751616	6.993147
Fgf15	7	144896532	144900953	3.0027342	-1.2047126	6.200939
Gpr124	8	27085583	27123436	-0.21014611	-0.44078	2.7978725
Adrb3	8	27225776	27229588	-0.006005389	2.0869575	4.9718957
Dlc1	8	36567751	36953143	2.7518475	3.9523005	6.523284
Vegfc	8	54077532	54186454	-0.21014611	-5.932633	-0.6133111
Hand2	8	57320983	57324517	-4.3685756	-3.932633	1.4651544
Abcc12	8	86482260	86580686	-4.3685756	0.9065707	2.901555
Cdh11	8	102632995	102785111	1.7128129	2.0417814	6.007788
Cdyl2	8	116568724	116732991	1.0576892	1.5019952	3.1877465
Foxf1a	8	121084474	121086879	-3.716499	-3.932633	2.5585673
Foxc2	8	121116171	121118892	-1.2690399	1.6598238	6.2444167
Fli1	9	32422208	32541389	-2.783613	-4.3476706	1.2515292
Robo3	9	37415669	37433163	-2.2690399	-0.5927831	3.7550712
Crabp1	9	54764748	54773110	3.8894856	3.5682087	7.201356
Aph1c	9	66814994	66834726	0.26701307	1.281686	2.7851372
Prtg	9	72807274	72917291	8.7770605	8.929132	10.346991
Klhl31	9	77636732	77660118	-5.1759305	-4.3476706	1.9289972
Ripply2	9	87015537	87019916	-1.8183784	0.7608538	5.066798
Chst2	9	95400929	95407270	2.8684638	2.1035407	5.4612436
Pcbp4	9	106453838	106464007	7.627545	7.4275284	8.398961
6230427J02Rik	9	107984227	107985879	-0.23341589	-0.8665439	5.4327703
Tdgf1	9	110939610	110946158	2.8847656	7.09743	7.922628
Rspo3	10	29453109	29535867	4.419793	4.642906	6.992936
Sult3a1	10	33863935	33879475	-7.327934	-7.084636	-1.4368846
Nepn	10	52388972	52404607	-7.327934	-0.2321934	1.2563517
Fgf22	10	79755119	79756961	-3.8540022	-7.084636	-2.307898
Hcfc2	10	82696160	82742428	0.89015883	0.36198765	2.6128464
Alx1	10	103007847	103029051	1.3318642	1.4596844	5.479059
Gm239	10	116776545	116896879	-0.22173414	1.0446467	4.3336782
Hmga2	10	120361275	120476469	7.4896827	8.309871	9.412757
Myl7	11	5896637	5898782	3.949483	4.0489345	7.619334
Rel	11	23741514	23770970	0.14599773	1.0503604	2.439235
Pdlim4	11	54054928	54069014	3.511445	4.1979375	5.818263
Hand1	11	57828705	57832818	2.8752785	-0.5403156	5.612141
Mfap4	11	61485431	61488900	2.8394847	2.433689	4.512449
Pmp22	11	63128982	63159547	1.15946	3.5165155	6.580525
Gp1ba	11	70639122	70642036	-3.0060053	-6.932633	0.2450742
Col1a1	11	94936224	94953042	-1.503505	-1.9784368	1.2320769
Hoxb6	11	96292476	96301569	-5.5909677	-7.084636	-0.56714094
Hoxb2	11	96351632	96355689	0.47512126	-0.2321934	5.6357737
Hoxb1	11	96365752	96368256	2.3338447	5.372288	7.594219
Igfbp4	11	99041244	99054392	4.3259068	4.0410643	6.6625867
Tns4	11	99065678	99089306	0.12785031	-0.04999007	3.8439863
Arl4d	11	101665541	101667832	1.2461343	0.91285694	5.67974
Pecam1	11	106654217	106750628	-4.1759305	-2.762708	0.7272627
Abca9	11	110100749	110168196	-5.5909677	-4.610705	2.1532583
Grin2c	11	115249169	115267243	-3.8540022	-2.6107051	3.6407764
Adcy3	12	4133103	4213525	3.4616	2.911288	5.6546936
Osr1	12	9574442	9581499	-4.3685756	-1.2047126	1.7074436
Msgn1	12	11208382	11208948	0.14599773	1.0785942	5.346738
Twist1	12	33957671	33959817	-0.87214965	-0.16444878	3.3420198
Foxf2	13	31625816	31631403	-3.716499	-2.0746522	0.58116543
Foxc1	13	31806646	31810635	-1.0060054	0.8289181	4.659707
Serpinb9	13	33003250	33017957	-1.44801	-2.932633	1.8104964
Rbm24	13	46418300	46431090	1.5689033	3.3458166	5.0018773
Cap2	13	46501848	46649642	2.534876	0.5830667	4.7980103
Msx2	13	53466881	53473074	3.592254	3.1914883	5.3327274
Tgfbi	13	56609603	56639339	-1.1759304	-0.013769857	2.874104
Gas1	13	60174405	60177365	4.379617	4.7781734	7.172706
Hapln1	13	89540636	89611832	-1.0466474	0.5751616	2.531637
Vcan	13	89655312	89742509	4.045052	3.5451252	6.0569854
Fam159b	13	104845283	104863893	-4.3685756	-1.5403156	0.0844193
Fgf10	13	118669791	118792115	-1.8905281	2.364283	4.348621
Wnt5a	14	28504750	28527447	3.8705115	3.508236	6.7337246
Gdf10	14	33923587	33935280	-1.8905281	-5.3476706	0.82787865
Bmp4	14	46383520	46390669	1.748882	2.6654193	4.818942
Gata4	14	63198922	63271692	-0.3055657	4.498342	5.879454
Pdlim2	14	70164218	70177681	3.6905756	1.8322384	6.3113565
Gfra2	14	70890130	70979838	1.3199246	1.2768203	3.6693816
Lect1	14	79637690	79662170	-3.0060053	-1.0746521	3.197809
Pcdh8	14	79766772	79771312	1.1991091	0.5511826	5.7909656
Pcdh17	14	84443563	84537060	-1.3685756	-1.8882389	2.7485256
Laptm4b	15	34238026	34284295	5.9340634	9.007153	9.39326
Klf10	15	38294413	38300707	4.291675	4.5992355	5.3846717
Foxh1	15	76668284	76669948	7.0546155	7.0049243	8.227825
Csf2rb2	15	78282517	78305603	-7.327934	-7.084636	0.6609202
Slc38a4	15	96994823	97055956	5.534661	5.8694787	7.4263883
Klhl6	16	19946499	19983037	-0.89052814	1.4809949	5.38733
Phldb2	16	45746243	45953598	5.0438433	6.220919	7.539262
Robo1	16	72663149	73046095	5.12528	4.595821	6.8382354
Ifnar2	16	91372783	91405589	3.1694748	3.4532294	4.903606
Igsf5	16	96361668	96525580	-1.503505	0.96823376	2.818127
Pcp4	16	96467606	96525793	-0.34304047	0.0673669	3.559868
Dll1	17	15367354	15376872	0.91153246	4.4111075	7.2614574
Rnf39	17	36942918	36947986	-7.327934	-2.1777456	1.4085152
Zfp57	17	37001163	37010635	3.419327	4.0360336	5.917246
Rftn1	17	49992257	50190674	1.7158533	0.9438838	4.520489
Rasgrp3	17	75435905	75529043	3.07081	5.2925744	7.797855
Zeb1	18	5591860	5775467	-0.83608043	0.9621847	4.13308
Gfra3	18	34689903	34720387	-0.6523685	1.186308	5.385864
Ppic	18	53406341	53418007	5.0752563	4.9214563	6.8423834
Prdm6	18	53464546	53575907	-0.5760177	2.3779798	4.126291
Fbn2	18	58008623	58209926	1.1278503	3.6190753	5.4824934
Pdgfrb	18	61045150	61085061	-0.517719	-1.44078	2.4427648
Apcdd1	18	62922327	62953195	1.4127841	0.26703924	2.8865995
Stard6	18	70472454	70501066	0.47512126	-0.5575937	1.4455826
Zadh2	18	84088158	84097514	1.7279513	2.1706545	3.84692
Peli3	19	4930651	4943127	0.37096405	1.3802497	4.9422755
Ahnak	19	8989284	9076919	0.30788535	3.2310166	3.960367
Pcsk5	19	17432832	17837632	0.7782659	1.375706	5.4554014
Acta2	19	34241090	34255336	-7.327934	-7.084636	1.5850041
Ch25h	19	34473786	34475135	-7.327934	-0.5063683	-1.1982738
Tll2	19	41083981	41206774	-3.0060053	-2.4090712	2.8678155
Wnt8b	19	44493472	44514273	-3.1759303	-7.084636	-0.39595428
Chst7	X	20059560	20097521	1.0089449	3.4391437	6.0880866
Sowahd	X	37048845	37050418	-4.3685756	-7.084636	2.9066768
Rhox10	X	38066475	38071691	-7.327934	-7.084636	-1.6610078
Dusp9	X	73639419	73643514	3.6282008	5.513158	7.3086505
Pcdh19	X	133582863	133688993	2.267013	2.6635568	7.5464783
Ripply1	X	139779549	139782353	-0.60607475	-2.1777456	1.9852709
Morc4	X	139821632	139871677	2.409032	3.7048974	4.7495236
Spin2	X	153832225	153834243	3.51057	4.1798067	5.477081
